idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno
-9223372036849505993,-9223372034061466848,36,MO,C4,11,Acido Citrico,0.1,mM/l,26,4,2022
-9223372036849909307,-9223372034061467860,36,MO,C4,11,Acido Citrico,0.11,mM/l,26,4,2022
-9223372036849909456,-9223372034061467549,36,MO,C4,11,Acido Citrico,0.13,mM/l,26,4,2022
-9223372036849909751,-9223372034061468602,36,MO,C4,11,Acido Citrico,0.1,mM/l,26,4,2022
-9223372036835101176,-9223372033749399351,72,BA,C4,11,Acido Citrico,0.142,mM/l,31,5,2022
-9223372036849543067,-9223372033559864071,35,RE,C4,11,Acido Citrico,0.08,mM/l,30,6,2022
-9223372036849221728,-9223372033559863293,35,RE,C4,11,Acido Citrico,0.1,mM/l,30,6,2022
-9223372036849909456,-9223372033529506804,36,MO,C4,11,Acido Citrico,0.12,mM/l,1,7,2022
-9223372036849909352,-9223372033529507383,36,MO,C4,11,Acido Citrico,0.09,mM/l,1,7,2022
-9223372036835101176,-9223372033380190215,72,BA,C4,11,Acido Citrico,0.155,mM/l,8,7,2022
-9223372036845931218,-9223372033529506273,36,MO,C4,11,Acido Citrico,0.11,mM/l,1,7,2022
-9223372036849221728,-9223372033313623152,35,RE,C4,11,Acido Citrico,0.11,mM/l,2,8,2022
-9223372036849543067,-9223372033313648753,35,RE,C4,11,Acido Citrico,0.1,mM/l,2,8,2022
-9223372036845931218,-9223372033154323020,36,MO,C4,11,Acido Citrico,0.1,mM/l,28,9,2022
-9223372036846278005,-9223372033154323470,36,MO,C4,11,Acido Citrico,0.11,mM/l,28,9,2022
-9223372036849909352,-9223372033154323618,36,MO,C4,11,Acido Citrico,0.1,mM/l,28,9,2022
-9223372036849909751,-9223372033154322990,36,MO,C4,11,Acido Citrico,0.11,mM/l,28,9,2022
-9223372036849909307,-9223372033154324014,36,MO,C4,11,Acido Citrico,0.1,mM/l,28,9,2022
-9223372036849909456,-9223372033154323110,36,MO,C4,11,Acido Citrico,0.11,mM/l,28,9,2022
-9223372036835101176,-9223372033235544995,72,BA,C4,11,Acido Citrico,0.123,mM/l,2,9,2022
-9223372036846315213,-9223372033154324312,36,MO,C4,11,Acido Citrico,0.11,mM/l,28,9,2022
-9223372036849221728,-9223372033073991165,35,RE,C4,11,Acido Citrico,0.11,mM/l,31,10,2022
-9223372036849543067,-9223372033073990023,35,RE,C4,11,Acido Citrico,0.1,mM/l,31,10,2022
-9223372036835101176,-9223372033123092806,72,BA,C4,11,Acido Citrico,0.118,mM/l,10,10,2022
-9223372036846278005,-9223372033069118451,36,MO,C4,11,Acido Citrico,0.1,mM/l,3,11,2022
-9223372036849909456,-9223372033069115138,36,MO,C4,11,Acido Citrico,0.12,mM/l,3,11,2022
-9223372036846315213,-9223372033069119920,36,MO,C4,11,Acido Citrico,0.09,mM/l,3,11,2022
-9223372036849909307,-9223372033069115736,36,MO,C4,11,Acido Citrico,0.11,mM/l,3,11,2022
-9223372036849909751,-9223372033069119521,36,MO,C4,11,Acido Citrico,0.1,mM/l,3,11,2022
-9223372036845931218,-9223372033069117915,36,MO,C4,11,Acido Citrico,0.1,mM/l,3,11,2022
-9223372036849909352,-9223372033069117686,36,MO,C4,11,Acido Citrico,0.11,mM/l,3,11,2022
-9223372036849221728,-9223372032907883158,35,RE,C4,11,Acido Citrico,0.1,mM/l,19,12,2022
-9223372036845191175,-9223372032505004167,36,MO,C4,11,Acido Citrico,0.09,mM/l,16,3,2023
-9223372036849909307,-9223372032505035678,36,MO,C4,11,Acido Citrico,0.11,mM/l,16,3,2023
-9223372036849909751,-9223372032505001933,36,MO,C4,11,Acido Citrico,0.09,mM/l,16,3,2023
-9223372036846315213,-9223372032505006697,36,MO,C4,11,Acido Citrico,0.1,mM/l,16,3,2023
-9223372036849505993,-9223372032505005512,36,MO,C4,11,Acido Citrico,0.11,mM/l,16,3,2023
-9223372036845931218,-9223372032505004565,36,MO,C4,11,Acido Citrico,0.09,mM/l,16,3,2023
-9223372036844902646,-9223372032505005711,36,MO,C4,11,Acido Citrico,0.09,mM/l,16,3,2023
