"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","DataIdentificazioneUnivoca","IdentificazioneSoggetto"
-9223372036155438080,-9223372036847415296,31,"GO","C4",11,23,11,2017,"2017-11-23",-9223372036847416320
-9223372036155448320,-9223372036846583808,4,"CN","C4",11,16,11,2017,"2017-11-16",-9223372036846583808
-9223372036155460608,-9223372036847273984,1,"TO","C4",11,7,11,2017,"2017-11-07",-9223372036847273984
-9223372036155487232,-9223372036847972352,21,"BZ","C4",11,24,11,2017,"2017-11-24",-9223372036847972352
-9223372036155550720,-9223372036849215488,1,"TO","C4",11,9,11,2017,"2017-11-09",-9223372036849215488
-9223372036155559936,-9223372036847180800,16,"BG","C4",11,17,11,2017,"2017-11-17",-9223372036847179776
-9223372036155563008,-9223372036847321088,14,"SO","C4",11,30,11,2017,"2017-11-30",-9223372036847320064
-9223372036155630592,-9223372036847277056,1,"TO","C4",11,11,11,2017,"2017-11-11",-9223372036847276032
-9223372036155654144,-9223372036847376384,21,"BZ","C4",11,22,11,2017,"2017-11-22",-9223372036847376384
-9223372036155721728,-9223372036850345984,30,"UD","C4",11,26,11,2017,"2017-11-26",-9223372036850345984
-9223372036155732992,-9223372036846731264,93,"PN","C4",11,18,11,2017,"2017-11-18",-9223372036846732288
-9223372036154829824,-9223372036847272960,1,"TO","C4",11,20,12,2017,"2017-12-20",-9223372036847271936
-9223372036154890240,-9223372036847411200,54,"PG","C4",11,10,12,2017,"2017-12-10",-9223372036847412224
-9223372036154956800,-9223372036846672896,14,"SO","C4",11,8,12,2017,"2017-12-08",-9223372036846671872
-9223372036155228160,-9223372036850542592,96,"BI","C4",11,21,12,2017,"2017-12-21",-9223372036850543616
-9223372036155234304,-9223372036849458176,24,"VI","C4",11,28,12,2017,"2017-12-28",-9223372036849458176
-9223372036155346944,-9223372036849438720,21,"BZ","C4",11,5,12,2017,"2017-12-05",-9223372036849439744
-9223372036155428864,-9223372036847386624,14,"SO","C4",11,30,12,2017,"2017-12-30",-9223372036847387648
-9223372036155484160,-9223372036847994880,21,"BZ","C4",11,6,12,2017,"2017-12-06",-9223372036847995904
-9223372036155499520,-9223372036850293760,23,"VR","C4",11,20,12,2017,"2017-12-20",-9223372036850293760
-9223372036155566080,-9223372036849195008,21,"BZ","C4",11,15,12,2017,"2017-12-15",-9223372036849196032
-9223372036155570176,-9223372036847986688,17,"BS","C4",11,1,12,2017,"2017-12-01",-9223372036847987712
-9223372036155596800,-9223372036847744000,93,"PN","C4",11,27,12,2017,"2017-12-27",-9223372036847744000
-9223372036155640832,-9223372036847917056,22,"TN","C4",11,15,12,2017,"2017-12-15",-9223372036847916032
-9223372036155687936,-9223372036846601216,21,"BZ","C4",11,4,12,2017,"2017-12-04",-9223372036846600192
-9223372036155759616,-9223372036846455808,36,"MO","C4",11,29,12,2017,"2017-12-29",-9223372036846455808
-9223372031114998784,-9223372036834520064,21,"BZ","C4",11,10,1,2018,"2018-01-10",-9223372036834520064
-9223372035922127872,-9223372036836353024,21,"BZ","C4",11,8,1,2018,"2018-01-08",-9223372036836352000
-9223372036069263360,-9223372036843994112,21,"BZ","C4",11,18,1,2018,"2018-01-18",-9223372036843994112
-9223372036081176576,-9223372036847335424,21,"BZ","C4",11,16,1,2018,"2018-01-16",-9223372036847336448
-9223372036154793984,-9223372036847372288,21,"BZ","C4",11,27,1,2018,"2018-01-27",-9223372036847372288
-9223372036154948608,-9223372036849525760,24,"VI","C4",11,3,1,2018,"2018-01-03",-9223372036849525760
-9223372036154967040,-9223372036847265792,1,"TO","C4",11,9,1,2018,"2018-01-09",-9223372036847265792
-9223372036155048960,-9223372036849374208,25,"BL","C4",11,1,1,2018,"2018-01-01",-9223372036849374208
-9223372036155112448,-9223372036849339392,21,"BZ","C4",11,5,1,2018,"2018-01-05",-9223372036849340416
-9223372036155214848,-9223372036849293312,24,"VI","C4",11,12,1,2018,"2018-01-12",-9223372036849292288
-9223372036155268096,-9223372036848018432,22,"TN","C4",11,11,1,2018,"2018-01-11",-9223372036848018432
-9223372036155323392,-9223372036849555456,13,"CO","C4",11,4,1,2018,"2018-01-04",-9223372036849556480
-9223372036155373568,-9223372036846610432,21,"BZ","C4",11,2,1,2018,"2018-01-02",-9223372036846610432
-9223372036155403264,-9223372036850186240,21,"BZ","C4",11,6,1,2018,"2018-01-06",-9223372036850186240
-9223372036155409408,-9223372036849273856,16,"BG","C4",11,2,1,2018,"2018-01-02",-9223372036849273856
-9223372036155549696,-9223372036850451456,10,"GE","C4",11,7,1,2018,"2018-01-07",-9223372036850452480
-9223372036155657216,-9223372036849377280,21,"BZ","C4",11,2,1,2018,"2018-01-02",-9223372036849376256
-9223372036155741184,-9223372036848026624,21,"BZ","C4",11,12,1,2018,"2018-01-12",-9223372036848027648
-9223372033201951744,-9223372036834541568,21,"BZ","C4",11,7,2,2018,"2018-02-07",-9223372036834541568
-9223372036154966016,-9223372036847872000,21,"BZ","C4",11,16,2,2018,"2018-02-16",-9223372036847872000
-9223372036154988544,-9223372036847309824,21,"BZ","C4",11,4,2,2018,"2018-02-04",-9223372036847309824
-9223372036155368448,-9223372036846616576,22,"TN","C4",11,16,2,2018,"",-9223372036846615552
-9223372036155370496,-9223372036847594496,22,"TN","C4",11,18,2,2018,"2018-02-18",-9223372036847594496
-9223372036155458560,-9223372036846609408,21,"BZ","C4",11,13,2,2018,"2018-02-13",-9223372036846608384
