"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","CodiceAziendaNascita","DestinazioneSoggetto","PesoAllaNascita","NumeroCapezzoli","date_formatted"
-9223372036081769472,-9223372036847899648,21,"BZ","C4",11,20,3,2017,-9223372036849263616,"Vita",NA,NA,2017-03-20
-9223372036113885184,-9223372036845968384,22,"TN","C4",11,20,3,2017,-9223372036849256448,"Vita",NA,NA,2017-03-20
-9223372036097751040,-9223372036847966208,21,"BZ","C4",11,21,3,2017,-9223372036849259520,"Vita",NA,NA,2017-03-21
-9223372036092780544,-9223372036847950848,21,"BZ","C4",11,24,3,2017,-9223372036849263616,"Vita",NA,NA,2017-03-24
-9223372036103616512,-9223372036845376512,21,"BZ","C4",11,25,3,2017,-9223372036847404032,"Macello",NA,NA,2017-03-25
-9223372036100366336,-9223372036847976448,21,"BZ","C4",11,26,3,2017,-9223372036849263616,"Vita",NA,NA,2017-03-26
-9223372036097440768,-9223372036847965184,21,"BZ","C4",11,28,3,2017,-9223372036849261568,"Vita",NA,NA,2017-03-28
-9223372036098647040,-9223372036847969280,21,"BZ","C4",11,28,3,2017,-9223372036849261568,"Vita",NA,NA,2017-03-28
-9223372036093160448,-9223372036847951872,21,"BZ","C4",11,4,4,2017,-9223372036849261568,"Vita",NA,NA,2017-04-04
-9223372036121960448,-9223372036846946304,21,"BZ","C4",11,17,4,2017,-9223372036847452160,"Vita",NA,NA,2017-04-17
-9223372036121286656,-9223372036847952896,21,"BZ","C4",11,18,4,2017,-9223372036849261568,"Vita",NA,NA,2017-04-18
-9223372036122415104,-9223372036846944256,21,"BZ","C4",11,20,4,2017,-9223372036849173504,"Vita",NA,NA,2017-04-20
-9223372036119165952,-9223372036846127104,28,"PD","C4",11,21,4,2017,-9223372036849959936,"Vita",NA,NA,2017-04-21
-9223372036086503424,-9223372036847926272,21,"BZ","C4",11,23,4,2017,-9223372036849263616,"Vita",NA,NA,2017-04-23
-9223372036082484224,-9223372036846368768,97,"LC","C4",11,24,4,2017,-9223372036850152448,"Vita",NA,NA,2017-04-24
-9223372036089887744,-9223372036847939584,21,"BZ","C4",11,24,4,2017,-9223372036849263616,"Vita",NA,NA,2017-04-24
-9223372036094595072,-9223372036849439744,21,"BZ","C4",11,1,5,2017,-9223372036847372288,"Vita",NA,NA,2017-05-01
-9223372036095093760,-9223372036847958016,21,"BZ","C4",11,1,5,2017,-9223372036849259520,"Vita",NA,NA,2017-05-01
-9223372036099551232,-9223372036847972352,21,"BZ","C4",11,1,5,2017,-9223372036849261568,"Vita",NA,NA,2017-05-01
-9223372036114135040,-9223372036848064512,76,"PZ","C4",11,1,5,2017,-9223372036850385920,"Vita",250,NA,2017-05-01
-9223372036084658176,-9223372036847344640,21,"BZ","C4",11,4,5,2017,-9223372036849185792,"Vita",NA,NA,2017-05-04
-9223372036106408960,-9223372036845549568,21,"BZ","C4",11,5,5,2017,-9223372036849263616,"Vita",NA,NA,2017-05-05
-9223372036096243712,-9223372036847962112,21,"BZ","C4",11,6,5,2017,-9223372036849263616,"Vita",NA,NA,2017-05-06
-9223372036082490368,-9223372036847906816,21,"BZ","C4",11,8,5,2017,-9223372036847339520,"Vita",NA,NA,2017-05-08
-9223372036089606144,-9223372036847938560,21,"BZ","C4",11,8,5,2017,-9223372036849263616,"Vita",NA,NA,2017-05-08
-9223372036097239040,-9223372036847964160,21,"BZ","C4",11,8,5,2017,-9223372036849261568,"Vita",NA,NA,2017-05-08
-9223372036098342912,-9223372036847968256,21,"BZ","C4",11,8,5,2017,-9223372036849259520,"Vita",NA,NA,2017-05-08
-9223372036106948608,-9223372036848019456,21,"BZ","C4",11,11,5,2017,-9223372036849259520,"Vita",NA,NA,2017-05-11
-9223372036106980352,-9223372036848115712,21,"BZ","C4",11,13,5,2017,-9223372036849263616,"Vita",NA,NA,2017-05-13
-9223372036099250176,-9223372036847971328,21,"BZ","C4",11,14,5,2017,-9223372036849261568,"Vita",NA,NA,2017-05-14
-9223372036100137984,-9223372036847975424,21,"BZ","C4",11,14,5,2017,-9223372036849261568,"Vita",NA,NA,2017-05-14
-9223372036093557760,-9223372036847945728,21,"BZ","C4",11,27,5,2017,-9223372036849261568,"Vita",NA,NA,2017-05-27
-9223372032113055744,-9223372036831208448,21,"BZ","C4",11,28,5,2017,-9223372036834541568,"Vita",NA,NA,2017-05-28
-9223372036099826688,-9223372036847973376,21,"BZ","C4",11,28,5,2017,-9223372036849261568,"Vita",NA,NA,2017-05-28
-9223372036114766848,-9223372036846013440,22,"TN","C4",11,30,5,2017,-9223372036849177600,"Vita",NA,NA,2017-05-30
-9223372036094730240,-9223372036847956992,21,"BZ","C4",11,31,5,2017,-9223372036849261568,"Vita",NA,NA,2017-05-31
-9223372036098942976,-9223372036847970304,21,"BZ","C4",11,1,6,2017,-9223372036849263616,"Vita",NA,NA,2017-06-01
-9223372036088244224,-9223372036847930368,21,"BZ","C4",11,6,6,2017,-9223372036849261568,"Vita",NA,NA,2017-06-06
-9223372036106208256,-9223372036847410176,21,"BZ","C4",11,12,6,2017,-9223372036849263616,"Vita",NA,NA,2017-06-12
-9223372035983933440,-9223372036839478272,21,"BZ","C4",11,17,6,2017,-9223372036849261568,"Vita",NA,NA,2017-06-17
-9223372034282935296,-9223372036833965056,21,"BZ","C4",11,29,6,2017,-9223372036847412224,"Vita",NA,NA,2017-06-29
-9223372036087097344,-9223372036844362752,21,"BZ","C4",11,29,6,2017,-9223372036849179648,"Vita",NA,NA,2017-06-29
-9223372030523344896,-9223372036843917312,21,"BZ","C4",11,3,7,2017,-9223372036846680064,"Macello",NA,NA,2017-07-03
-9223372036090887168,-9223372036847943680,21,"BZ","C4",11,9,7,2017,-9223372036849261568,"Vita",NA,NA,2017-07-09
-9223372036091968512,-9223372036847947776,21,"BZ","C4",11,11,7,2017,-9223372036849259520,"Vita",NA,NA,2017-07-11
-9223372036099654656,-9223372036845124608,21,"BZ","C4",11,11,7,2017,-9223372036849183744,"Macello",NA,NA,2017-07-11
-9223372036095492096,-9223372036847959040,21,"BZ","C4",11,13,7,2017,-9223372036849263616,"Vita",NA,NA,2017-07-13
