"idMisuraPrimaria","idAnimale","codiceIstat","siglaProvincia","codiceSpecieAIA","codiceRazzaAIA","giorno","mese","anno","DataEliminazione","MotivoEliminazione"
-9223372030514849792,-9223372036803274752,22,"TN","C4",11,19,2,2024,"2024-02-19","Macello"
-9223372030592688128,-9223372036850355200,30,"UD","C4",11,5,2,2024,"2024-02-05","Macello"
-9223372030026385408,-9223372036847538176,1,"TO","C4",11,23,3,2024,"2024-03-23","Morte in stalla"
-9223372030259280896,-9223372036847542272,4,"CN","C4",11,29,3,2024,"2024-03-29","Macello"
-9223372030389242880,-9223372036847602688,13,"CO","C4",11,14,3,2024,"2024-03-14","Morte in stalla"
-9223372030173465600,-9223372036850096128,1,"TO","C4",11,5,4,2024,"2024-04-05","Abbattimento Prov.Sanitario"
-9223372030209875968,-9223372036848964608,14,"SO","C4",11,29,4,2024,"2024-04-29","Morte in stalla"
-9223372030262462464,-9223372036847988736,22,"TN","C4",11,15,4,2024,"2024-04-15","Macello"
-9223372030268937216,-9223372036850527232,25,"BL","C4",11,19,4,2024,"2024-04-19","Macello"
-9223372030342458368,-9223372036803120128,97,"LC","C4",11,8,4,2024,"2024-04-08","Macello"
-9223372029880719360,-9223372036802819072,97,"LC","C4",11,13,5,2024,"2024-05-13","Macello"
-9223372030007072768,-9223372036850034688,1,"TO","C4",11,9,5,2024,"2024-05-09","Morte in stalla"
-9223372030016033792,-9223372036847525888,17,"BS","C4",11,17,5,2024,"2024-05-17","Macello"
-9223372030036202496,-9223372036849604608,16,"BG","C4",11,6,5,2024,"2024-05-06","Macello"
-9223372030071839744,-9223372036802802688,22,"TN","C4",11,24,5,2024,"2024-05-24","Morte in stalla"
-9223372029498135552,-9223372036848963584,14,"SO","C4",11,2,6,2024,"2024-06-02","Morte in stalla"
-9223372029905608704,-9223372036849090560,22,"TN","C4",11,13,6,2024,"2024-06-13","Macello"
-9223372029939511296,-9223372036850381824,24,"VI","C4",11,10,6,2024,"2024-06-10","Macello"
-9223372029676173312,-9223372036848634880,22,"TN","C4",11,1,7,2024,"2024-07-01","Macellazione per autoconsumo"
-9223372029771510784,-9223372036847885312,1,"TO","C4",11,1,7,2024,"2024-07-01","Macello"
