siglaProvincia,valoreMisura
AO,71.04
BA,263.17
BG,290.82
BI,311.43
BL,239.22
BS,289.15
BZ,146.02
CN,321.93
CO,227.04
CR,280.45
EN,283.67
GE,243.59
IS,236.32
LC,341.61
ME,104.65
MO,145.78
NO,191.14
NU,52.11
PD,306.02
PE,436.93
PN,157.87
PV,279.98
PZ,339.3
RE,224.76
SO,295.22
SP,433.72
SR,753.0
TE,78.2
TN,214.97
TO,289.05
TV,171.53
UD,251.04
VA,197.02
VB,440.44
VC,309.4
VI,226.74
VR,179.97
