siglaProvincia,valoreMisura
AO,3.13
BA,3.36
BG,3.4
BI,3.33
BL,3.41
BS,3.38
BZ,3.45
CN,3.35
CO,3.34
CR,3.78
EN,3.25
GE,3.4
IS,3.22
LC,3.28
ME,3.65
MO,3.43
NO,3.35
NU,3.47
PD,3.51
PE,3.52
PN,3.37
PV,3.44
PZ,3.49
RE,3.61
SO,3.41
SP,3.28
SR,3.2
TE,3.22
TN,3.45
TO,3.43
TV,3.53
UD,3.37
VA,3.41
VB,3.48
VC,3.33
VI,3.44
VR,3.59
