siglaProvincia,valoreMisura
BA,23.73
BI,15.53
BL,20.39
BS,20.53
BZ,16.43
CN,18.82
CO,22.21
EN,8.33
GE,17.8
LC,10.31
ME,19.4
MO,29.16
NO,19.15
PD,21.72
PN,17.74
PZ,28.55
RE,17.31
SO,16.93
SP,15.34
SR,22.0
TO,16.91
TV,22.57
UD,17.23
VB,17.52
VC,19.0
VI,22.48
VR,24.62
