siglaProvincia,valoreMisura
BA,7.62
BI,8.05
BL,7.06
BS,7.25
BZ,4.35
CN,7.42
CO,7.69
EN,8.5
GE,7.16
LC,9.38
ME,7.53
MO,7.74
NO,6.54
PD,6.89
PN,4.89
PZ,6.62
RE,7.93
SO,8.17
SP,7.83
SR,7.0
TO,7.38
TV,6.2
UD,5.16
VB,7.36
VC,7.69
VI,6.39
VR,5.76
