siglaProvincia,valoreMisura
AO,4.91
BA,4.75
BG,4.75
BI,4.8
BL,4.76
BS,4.71
BZ,4.77
CN,4.71
CO,4.71
CR,4.83
EN,4.71
GE,4.71
IS,4.48
LC,4.68
ME,4.83
MO,4.78
NO,4.81
NU,4.88
PD,4.76
PE,4.62
PN,4.68
PV,4.76
PZ,4.81
RE,4.84
SO,4.75
SP,4.43
SR,4.5
TE,4.61
TN,4.76
TO,4.75
TV,4.78
UD,4.7
VA,4.85
VB,4.79
VC,4.74
VI,4.78
VR,4.83
