siglaProvincia,valoreMisura
AO,2.47
BA,2.62
BG,2.66
BI,2.6
BL,2.67
BS,2.65
BZ,2.73
CN,2.62
CO,2.61
CR,2.99
EN,2.48
GE,2.67
IS,2.44
LC,2.56
ME,2.86
MO,2.68
NO,2.63
NU,2.75
PD,2.73
PE,2.76
PN,2.66
PR,3.57
PV,2.68
PZ,2.74
RE,2.84
SO,2.67
SP,2.5
SR,2.44
TE,2.46
TN,2.71
TO,2.68
TV,2.78
UD,2.64
VA,2.7
VB,2.75
VC,2.61
VI,2.69
VR,2.82
