idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataDiagnosiGravidanza,EsitoDiagnosiGravidanza
-9223372036216454573,-9223372036848627122,21,BZ,C4,11,2,11,2017,2017-11-02,POSITIVA
-9223372036216454988,-9223372036848646653,21,BZ,C4,11,23,11,2017,2017-11-23,POSITIVA
-9223372036216455454,-9223372036848648987,21,BZ,C4,11,15,11,2017,2017-11-15,POSITIVA
-9223372036216455474,-9223372036848654361,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA
-9223372036216455475,-9223372036848661530,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA
-9223372036216455904,-9223372036848660291,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA
-9223372036216455923,-9223372036848632348,21,BZ,C4,11,17,11,2017,2017-11-17,POSITIVA
-9223372036216456268,-9223372036848653938,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA
-9223372036216456289,-9223372036848659385,21,BZ,C4,11,3,11,2017,2017-11-03,POSITIVA
-9223372036216456322,-9223372036849507197,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA
-9223372036216456719,-9223372036848661123,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA
-9223372036216456746,-9223372036848653028,21,BZ,C4,11,6,11,2017,2017-11-06,POSITIVA
-9223372036216456774,-9223372036848656342,21,BZ,C4,11,13,11,2017,2017-11-13,NEGATIVA
-9223372036216457663,-9223372036848638145,21,BZ,C4,11,3,11,2017,2017-11-03,POSITIVA
-9223372036216457670,-9223372036848641416,21,BZ,C4,11,30,11,2017,2017-11-30,POSITIVA
-9223372036216458073,-9223372036848655761,21,BZ,C4,11,25,11,2017,2017-11-25,NEGATIVA
-9223372036216458114,-9223372036848631139,21,BZ,C4,11,16,11,2017,2017-11-16,POSITIVA
-9223372036216458579,-9223372036848647741,21,BZ,C4,11,7,11,2017,2017-11-07,NEGATIVA
-9223372036216458996,-9223372036848656363,21,BZ,C4,11,24,11,2017,2017-11-24,POSITIVA
-9223372036216466747,-9223372036848640663,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA
-9223372036216470359,-9223372036848651167,21,BZ,C4,11,24,11,2017,2017-11-24,NEGATIVA
