idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,CodiceAziendaNascita,DestinazioneSoggetto,PesoAllaNascita,NumeroCapezzoli
-9223372036111837893,-9223372036848121626,21,BZ,C4,11,27,1,2017,-9.223372036849263e+18,Vita,,
-9223372036112186752,-9223372036848118656,21,BZ,C4,11,27,1,2017,-9.223372036849262e+18,Vita,,
-9223372036112188211,-9223372036848120315,21,BZ,C4,11,15,1,2017,-9.223372036849262e+18,Vita,,
-9223372036113006585,-9223372036848120308,21,BZ,C4,11,19,1,2017,-9.223372036849262e+18,Vita,,
-9223372036113518915,-9223372036848118840,21,BZ,C4,11,5,1,2017,-9.223372036849261e+18,Vita,,
-9223372036113774310,-9223372036845959981,22,TN,C4,11,1,1,2017,-9.223372036849257e+18,Macello,,
-9223372036118295678,-9223372036846099267,21,BZ,C4,11,13,1,2017,-9.223372036847437e+18,Vita,,
-9223372036118298076,-9223372036846327139,21,BZ,C4,11,13,1,2017,-9.223372036847437e+18,Macello,,
-9223372036118617762,-9223372036846617125,21,BZ,C4,11,15,1,2017,-9.223372036849257e+18,Vita,,
-9223372036120008796,-9223372036848118483,21,BZ,C4,11,27,1,2017,-9.223372036849261e+18,Vita,,
-9223372036120446818,-9223372036848119341,21,BZ,C4,11,30,1,2017,-9.223372036849263e+18,Vita,,
-9223372031916657691,-9223372036806111270,21,BZ,C4,11,27,2,2017,-9.223372036844385e+18,Vita,,
-9223372034238553687,-9223372036828853540,21,BZ,C4,11,22,2,2017,-9.223372036849172e+18,Vita,,
-9223372035840073207,-9223372036835156032,21,BZ,C4,11,10,2,2017,-9.223372036835042e+18,Vita,,
-9223372035840078543,-9223372036835156087,21,BZ,C4,11,24,2,2017,-9.223372036849178e+18,Vita,,
-9223372036090455732,-9223372036847941747,21,BZ,C4,11,12,2,2017,-9.223372036849262e+18,Vita,,
-9223372036096588911,-9223372036847962867,21,BZ,C4,11,21,2,2017,-9.223372036849262e+18,Vita,,
-9223372036101050638,-9223372036847981493,21,BZ,C4,11,27,2,2017,-9.22337203684926e+18,Vita,,
-9223372036101187011,-9223372036847981655,21,BZ,C4,11,22,2,2017,-9.223372036849262e+18,Vita,,
-9223372036101396030,-9223372036847984830,21,BZ,C4,11,14,2,2017,-9.223372036849264e+18,Vita,,
-9223372036101675355,-9223372036847987762,21,BZ,C4,11,16,2,2017,-9.223372036849262e+18,Vita,,
-9223372036102001899,-9223372036847988304,22,TN,C4,11,9,2,2017,-9.223372036849256e+18,Vita,,
-9223372036103879104,-9223372036847997125,21,BZ,C4,11,5,2,2017,-9.223372036849264e+18,Vita,,
-9223372036103881987,-9223372036847997104,21,BZ,C4,11,10,2,2017,-9.223372036849263e+18,Vita,,
-9223372036104182819,-9223372036847999757,21,BZ,C4,11,8,2,2017,-9.223372036849262e+18,Vita,,
-9223372036104186787,-9223372036847999806,21,BZ,C4,11,26,2,2017,-9.223372036849263e+18,Vita,,
-9223372036104189874,-9223372036847999810,21,BZ,C4,11,10,2,2017,-9.223372036849263e+18,Vita,,
-9223372036104421270,-9223372036848002133,21,BZ,C4,11,4,2,2017,-9.223372036849262e+18,Vita,,
-9223372036104768701,-9223372036848004455,21,BZ,C4,11,12,2,2017,-9.223372036849261e+18,Vita,,
-9223372036104774321,-9223372036848004489,21,BZ,C4,11,5,2,2017,-9.223372036849262e+18,Vita,,
-9223372036104776701,-9223372036848004512,21,BZ,C4,11,4,2,2017,-9.223372036849263e+18,Vita,,
-9223372036105092295,-9223372036848006953,21,BZ,C4,11,20,2,2017,-9.223372036849261e+18,Vita,,
-9223372036105104340,-9223372036848007111,21,BZ,C4,11,15,2,2017,-9.223372036849264e+18,Vita,,
-9223372036105427687,-9223372036848009748,21,BZ,C4,11,17,2,2017,-9.223372036849261e+18,Vita,,
