idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcssIndiceCelluleSomatiche,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,NumeroDiFiglie,NumeroDiAziende,AreaGeograficaEsteraDiInfluenzaSuCalcolo
-9223372035851848685,-9223372036844294863,,,C4,11,6,5,2021,102.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851848697,-9223372036844316154,,,C4,11,6,5,2021,105.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851848709,-9223372036844316155,,,C4,11,6,5,2021,99.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851848721,-9223372036844316158,,,C4,11,6,5,2021,100.0,54.0,GENETICO,Semestrale,2021,,,
-9223372035851848733,-9223372036844362293,,,C4,11,6,5,2021,102.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851848745,-9223372036844362295,,,C4,11,6,5,2021,109.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851848757,-9223372036844267182,,,C4,11,6,5,2021,91.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851848769,-9223372036844196293,,,C4,11,6,5,2021,100.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851848781,-9223372036844316300,,,C4,11,6,5,2021,108.0,59.0,GENETICO,Semestrale,2021,,,
-9223372035851848793,-9223372036844362124,,,C4,11,6,5,2021,107.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851848805,-9223372036844362125,,,C4,11,6,5,2021,108.0,55.0,GENETICO,Semestrale,2021,,,
-9223372035851848817,-9223372036844294605,,,C4,11,6,5,2021,102.0,58.0,GENETICO,Semestrale,2021,,,
-9223372035851848829,-9223372036844188007,,,C4,11,6,5,2021,93.0,59.0,GENETICO,Semestrale,2021,,,
-9223372035851848853,-9223372036844338910,,,C4,11,6,5,2021,110.0,58.0,GENETICO,Semestrale,2021,,,
-9223372035851848865,-9223372036844292082,,,C4,11,6,5,2021,102.0,40.0,GENETICO,Semestrale,2021,,,
-9223372035851848877,-9223372036844294328,,,C4,11,6,5,2021,105.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851848889,-9223372036844316129,,,C4,11,6,5,2021,99.0,55.0,GENETICO,Semestrale,2021,,,
-9223372035851848901,-9223372036844316027,,,C4,11,6,5,2021,104.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851848913,-9223372036835155825,,,C4,11,6,5,2021,102.0,40.0,GENETICO,Semestrale,2021,,,
-9223372035851848925,-9223372036846250805,,,C4,11,6,5,2021,100.0,47.0,GENETICO,Semestrale,2021,,,
-9223372035851848937,-9223372036844417734,,,C4,11,6,5,2021,111.0,40.0,GENETICO,Semestrale,2021,,,
-9223372035851848949,-9223372036844417735,,,C4,11,6,5,2021,101.0,48.0,GENETICO,Semestrale,2021,,,
-9223372035851848961,-9223372036844318809,,,C4,11,6,5,2021,98.0,58.0,GENETICO,Semestrale,2021,,,
-9223372035851848973,-9223372036844467280,,,C4,11,6,5,2021,104.0,54.0,GENETICO,Semestrale,2021,,,
-9223372035851848985,-9223372036844342824,,,C4,11,6,5,2021,103.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851848997,-9223372036844354632,,,C4,11,6,5,2021,100.0,52.0,GENETICO,Semestrale,2021,,,
-9223372035851849009,-9223372036844346513,,,C4,11,6,5,2021,102.0,38.0,GENETICO,Semestrale,2021,,,
-9223372035851849021,-9223372036847924406,,,C4,11,6,5,2021,103.0,60.0,GENETICO,Semestrale,2021,,,
-9223372035851849033,-9223372036844213322,,,C4,11,6,5,2021,99.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851849045,-9223372036844138775,,,C4,11,6,5,2021,99.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851849057,-9223372036844271030,,,C4,11,6,5,2021,108.0,58.0,GENETICO,Semestrale,2021,,,
-9223372035851849069,-9223372036844223812,,,C4,11,6,5,2021,109.0,46.0,GENETICO,Semestrale,2021,,,
-9223372035851849081,-9223372036844294585,,,C4,11,6,5,2021,98.0,57.0,GENETICO,Semestrale,2021,,,
-9223372035851849093,-9223372036844294584,,,C4,11,6,5,2021,103.0,56.0,GENETICO,Semestrale,2021,,,
-9223372035851849105,-9223372036844203100,,,C4,11,6,5,2021,103.0,41.0,GENETICO,Semestrale,2021,,,
-9223372035851849129,-9223372036844294274,,,C4,11,6,5,2021,99.0,58.0,GENETICO,Semestrale,2021,,,
-9223372035851849141,-9223372036844324833,,,C4,11,6,5,2021,96.0,43.0,GENETICO,Semestrale,2021,,,
-9223372035851849153,-9223372036844324864,,,C4,11,6,5,2021,103.0,58.0,GENETICO,Semestrale,2021,,,
