idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IpIndiceInterparto,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento
-9223372029988820574,-9223372036835156767,,,C4,11,31,5,2024,88,93.0,GENETICO,semestrale,2024
-9223372029988820580,-9223372036835156699,,,C4,11,31,5,2024,112,85.0,GENETICO,semestrale,2024
-9223372029988820586,-9223372036835156670,,,C4,11,31,5,2024,80,87.0,GENETICO,semestrale,2024
-9223372029988820592,-9223372036835156726,,,C4,11,31,5,2024,103,90.0,GENETICO,semestrale,2024
-9223372029988820598,-9223372036835156708,,,C4,11,31,5,2024,117,92.0,GENETICO,semestrale,2024
-9223372029988820604,-9223372036846950899,,,C4,11,31,5,2024,99,94.0,GENETICO,semestrale,2024
-9223372029988820610,-9223372036835156760,,,C4,11,31,5,2024,93,93.0,GENETICO,semestrale,2024
-9223372029988820616,-9223372036835156671,,,C4,11,31,5,2024,93,87.0,GENETICO,semestrale,2024
-9223372029988820622,-9223372036835156687,,,C4,11,31,5,2024,97,85.0,GENETICO,semestrale,2024
-9223372029988820628,-9223372036835156662,,,C4,11,31,5,2024,112,91.0,GENETICO,semestrale,2024
-9223372029988820634,-9223372036835156601,,,C4,11,31,5,2024,106,81.0,GENETICO,semestrale,2024
-9223372029988820640,-9223372036835156773,,,C4,11,31,5,2024,102,94.0,GENETICO,semestrale,2024
-9223372029988820646,-9223372036835156682,,,C4,11,31,5,2024,105,90.0,GENETICO,semestrale,2024
-9223372029988820652,-9223372036835156768,,,C4,11,31,5,2024,102,92.0,GENETICO,semestrale,2024
-9223372029988820658,-9223372036835156749,,,C4,11,31,5,2024,95,93.0,GENETICO,semestrale,2024
-9223372029988820664,-9223372036835156724,,,C4,11,31,5,2024,82,90.0,GENETICO,semestrale,2024
-9223372029988820670,-9223372036835156609,,,C4,11,31,5,2024,90,91.0,GENETICO,semestrale,2024
-9223372029988820676,-9223372036835156770,,,C4,11,31,5,2024,103,93.0,GENETICO,semestrale,2024
-9223372029988820682,-9223372036835156632,,,C4,11,31,5,2024,71,86.0,GENETICO,semestrale,2024
-9223372029988820688,-9223372036835156646,,,C4,11,31,5,2024,105,88.0,GENETICO,semestrale,2024
-9223372029988820694,-9223372036835156629,,,C4,11,31,5,2024,85,86.0,GENETICO,semestrale,2024
-9223372029988820700,-9223372036835156587,,,C4,11,31,5,2024,106,83.0,GENETICO,semestrale,2024
-9223372029988820706,-9223372036835156621,,,C4,11,31,5,2024,86,85.0,GENETICO,semestrale,2024
-9223372029988820712,-9223372036835156730,,,C4,11,31,5,2024,96,85.0,GENETICO,semestrale,2024
-9223372029988820718,-9223372036835156634,,,C4,11,31,5,2024,92,89.0,GENETICO,semestrale,2024
-9223372029988820724,-9223372036835156595,,,C4,11,31,5,2024,111,84.0,GENETICO,semestrale,2024
-9223372029988820730,-9223372036835156673,,,C4,11,31,5,2024,90,92.0,GENETICO,semestrale,2024
-9223372029988820736,-9223372036835156684,,,C4,11,31,5,2024,89,91.0,GENETICO,semestrale,2024
-9223372029988820742,-9223372036835156635,,,C4,11,31,5,2024,107,87.0,GENETICO,semestrale,2024
-9223372029988820748,-9223372036835156720,,,C4,11,31,5,2024,57,88.0,GENETICO,semestrale,2024
-9223372029988820754,-9223372036835156713,,,C4,11,31,5,2024,94,83.0,GENETICO,semestrale,2024
-9223372029988820760,-9223372036835156716,,,C4,11,31,5,2024,106,90.0,GENETICO,semestrale,2024
-9223372029988820766,-9223372036835156667,,,C4,11,31,5,2024,74,87.0,GENETICO,semestrale,2024
-9223372029988820772,-9223372036835156589,,,C4,11,31,5,2024,113,88.0,GENETICO,semestrale,2024
-9223372029988820778,-9223372036835156633,,,C4,11,31,5,2024,96,80.0,GENETICO,semestrale,2024
-9223372029988820784,-9223372036835156753,,,C4,11,31,5,2024,108,95.0,GENETICO,semestrale,2024
-9223372029988820793,-9223372036835156695,,,C4,11,31,5,2024,82,92.0,GENETICO,semestrale,2024
-9223372029988820799,-9223372036835156495,,,C4,11,31,5,2024,97,81.0,GENETICO,semestrale,2024
-9223372029988820805,-9223372036835156694,,,C4,11,31,5,2024,91,94.0,GENETICO,semestrale,2024
