idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataEliminazione,MotivoEliminazione
-9223372036176971981,-9223372036846950487,21,BZ,C4,11,11,12,2018,2018-12-11,Morte in stalla
-9223372036176098857,-9223372036848551532,25,BL,C4,11,7,1,2019,2019-01-07,Morte in stalla
-9223372036121436806,-9223372036848635971,72,BA,C4,11,18,3,2019,2019-03-18,Macello
-9223372036114135484,-9223372036846495206,76,PZ,C4,11,1,5,2019,2019-05-01,Morte in stalla
-9223372036104640154,-9223372036846224535,30,UD,C4,11,20,8,2019,2019-08-20,Morte al Pascolo
-9223372036109618541,-9223372036845734710,25,BL,C4,11,5,11,2019,2019-11-05,Macello
-9223372036109775891,-9223372036846477007,25,BL,C4,11,4,11,2019,2019-11-04,Macello
-9223372036105460132,-9223372036848026198,22,TN,C4,11,5,1,2020,2020-01-05,Macello
-9223372036095181925,-9223372036846403303,76,PZ,C4,11,25,9,2020,2020-09-25,Macello
-9223372032647043137,-9223372036849415110,25,BL,C4,11,7,12,2020,2020-12-07,Macello
-9223372036088835316,-9223372036848112020,22,TN,C4,11,2,12,2020,2020-12-02,Macello
-9223372036084891012,-9223372036845188969,22,TN,C4,11,1,1,2021,2021-01-01,Macello
-9223372034176002273,-9223372036834711980,13,CO,C4,11,10,4,2022,2022-04-10,Macello
-9223372032710529417,-9223372036848644154,22,TN,C4,11,28,12,2022,2022-12-28,Morte in stalla
-9223372032443972135,-9223372036844278651,26,TV,C4,11,7,2,2023,2023-02-07,Macello
-9223372031213247295,-9223372036848604698,22,TN,C4,11,10,8,2023,2023-08-10,Morte in stalla
-9223372031595706333,-9223372036849927676,4,CN,C4,11,21,8,2023,2023-08-21,Morte al Pascolo
-9223372031511491884,-9223372036848601691,22,TN,C4,11,20,9,2023,2023-09-20,Macello
-9223372031528401806,-9223372036848114249,22,TN,C4,11,20,9,2023,2023-09-20,Macello
-9223372031553862509,-9223372036850346231,30,UD,C4,11,25,9,2023,2023-09-25,Macello
-9223372031553862530,-9223372036850346269,30,UD,C4,11,25,9,2023,2023-09-25,Macello
-9223372031570026660,-9223372036848591918,22,TN,C4,11,20,9,2023,2023-09-20,Macello
-9223372031648879353,-9223372036850191155,1,TO,C4,11,11,9,2023,2023-09-11,Macello
-9223372030921646048,-9223372036850611230,17,BS,C4,11,9,10,2023,2023-10-09,Macello
-9223372031249170741,-9223372036850577521,25,BL,C4,11,23,10,2023,2023-10-23,Macello
-9223372031249240634,-9223372036850172353,2,VC,C4,11,24,10,2023,2023-10-24,Macello
-9223372031403100321,-9223372036848114372,22,TN,C4,11,25,10,2023,2023-10-25,Macello
-9223372031434603141,-9223372036847923534,22,TN,C4,11,31,10,2023,2023-10-31,Macello
-9223372031459082605,-9223372036849631350,24,VI,C4,11,12,10,2023,2023-10-12,Macello
-9223372031491092963,-9223372036848115390,22,TN,C4,11,6,10,2023,2023-10-06,Macello
-9223372031495310145,-9223372036850108071,2,VC,C4,11,8,10,2023,2023-10-08,Macello
-9223372030929943038,-9223372036850291039,17,BS,C4,11,6,11,2023,2023-11-06,Macello
