idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,GoodSeparationGose,CelluleSomaticheDifferenzialiDscc,DataAnalisiDscc,NumeroCampioneDscc
-9223372036733115149,-9223372036850152072,97,LC,C4,11,27,3,2018,,75.0,2018-03-27,76293664
-9223372036733135460,-9223372036849751679,25,BL,C4,11,12,3,2018,1.0,79.0,2018-03-12,11384127
-9223372036733168445,-9223372036848568764,24,VI,C4,11,22,3,2018,1.0,85.7,2018-03-22,11427676
-9223372036733175005,-9223372036848552238,24,VI,C4,11,3,3,2018,1.0,72.0,2018-03-03,73603908
-9223372036733195714,-9223372036848552297,25,BL,C4,11,5,3,2018,1.0,64.0,2018-03-05,73261901
-9223372036733196993,-9223372036850615556,14,SO,C4,11,24,3,2018,,61.7,2018-03-24,74089493
-9223372036733244814,-9223372036848557885,24,VI,C4,11,22,3,2018,1.0,72.3,2018-03-22,11428277
-9223372036733249555,-9223372036850370153,25,BL,C4,11,14,3,2018,1.0,78.8,2018-03-14,73647892
-9223372036733268041,-9223372036850577363,25,BL,C4,11,5,3,2018,1.0,74.8,2018-03-05,73261920
-9223372036733280770,-9223372036848655117,25,BL,C4,11,5,3,2018,1.0,63.1,2018-03-05,73261971
-9223372036733351226,-9223372036848630199,14,SO,C4,11,28,3,2018,,59.1,2018-03-28,73784601
-9223372036733385190,-9223372036849884268,25,BL,C4,11,8,3,2018,1.0,56.5,2018-03-08,73644032
-9223372036733398602,-9223372036848640291,25,BL,C4,11,14,3,2018,1.0,73.3,2018-03-14,73647815
-9223372036733452928,-9223372036850184538,24,VI,C4,11,22,3,2018,1.0,65.9,2018-03-22,11427606
-9223372036733480788,-9223372036848655104,14,SO,C4,11,28,3,2018,,37.0,2018-03-28,73784622
-9223372036733483003,-9223372036850039763,16,BG,C4,11,29,3,2018,,61.1,2018-03-29,76273487
-9223372036733484974,-9223372036848553915,25,BL,C4,11,5,3,2018,1.0,88.4,2018-03-05,73261914
-9223372036733526382,-9223372036848662077,24,VI,C4,11,12,3,2018,1.0,68.2,2018-03-12,10845064
-9223372036733568064,-9223372036848964584,14,SO,C4,11,28,3,2018,,72.1,2018-03-28,73784553
-9223372036733589153,-9223372036850185602,24,VI,C4,11,22,3,2018,1.0,65.2,2018-03-22,11428058
-9223372036733621561,-9223372036849352466,17,BS,C4,11,23,3,2018,,76.4,2018-03-23,76175419
