idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,NumeroFemmineNateMorte,NumeroMaschiNatiMorti,DataAborto,TipoAborto
-9223372033639718866,-9223372036850381396,24.0,VI,C4,11,10,6,2022,,,2022-06-10,P
-9223372032691882192,-9223372036846325987,13.0,CO,C4,11,1,7,2022,,1.0,2022-07-01,T
-9223372033004761501,-9223372036846325987,13.0,CO,C4,11,1,7,2022,,,2022-07-01,P
-9223372033172335157,-9223372036850185852,24.0,VI,C4,11,20,7,2022,1.0,,2022-07-20,T
-9223372033298744213,-9223372036848652750,21.0,BZ,C4,11,11,7,2022,,,2022-07-11,T
-9223372032752701218,-9223372036834686523,14.0,SO,C4,11,28,12,2022,,1.0,2022-12-28,T
-9223372032944589601,-9223372036848639291,22.0,TN,C4,11,8,12,2022,,1.0,2022-12-08,T
-9223372032559254854,-9223372036809171095,22.0,TN,C4,11,20,1,2023,,1.0,2023-01-20,T
-9223372032611970930,-9223372036849236587,25.0,BL,C4,11,15,1,2023,1.0,,2023-01-15,T
-9223372032715654866,-9223372036850186277,24.0,VI,C4,11,9,1,2023,1.0,,2023-01-09,T
-9223372032655898313,-9223372036848127411,14.0,SO,C4,11,1,2,2023,,1.0,2023-02-01,T
-9223372032265909058,-9223372036850280161,13.0,CO,C4,11,5,4,2023,,1.0,2023-04-05,T
-9223372032329914119,-9223372036845177991,22.0,TN,C4,11,17,4,2023,,,2023-04-17,P
-9223372031304152408,-9223372036845702909,21.0,BZ,C4,11,10,9,2023,,,2023-09-10,T
-9223372031509124446,-9223372036848113803,22.0,TN,C4,11,15,9,2023,,1.0,2023-09-15,T
-9223372030016034068,-9223372036847525635,17.0,BS,C4,11,25,11,2023,1.0,,2023-11-25,T
-9223372031113697665,-9223372036845054507,30.0,UD,C4,11,20,11,2023,,,2023-11-20,P
-9223372031315597607,-9223372036847886839,2.0,VC,C4,11,10,11,2023,,,2023-11-10,P
-9223372030929942796,-9223372036849203076,2.0,VC,C4,11,20,12,2023,,,2023-12-20,P
-9223372030679630845,-9223372036848591190,22.0,TN,C4,11,17,1,2024,,1.0,2024-01-17,T
-9223372030508125539,-9223372036844713994,22.0,TN,C4,11,21,2,2024,,1.0,2024-02-21,T
-9223372030548813970,-9223372036832398697,30.0,UD,C4,11,14,2,2024,1.0,,2024-02-14,T
-9223372030627154832,-9223372036835115115,24.0,VI,C4,11,9,2,2024,1.0,,2024-02-09,T
-9223372030091139197,-9223372036848633332,97.0,LC,C4,11,9,4,2024,,1.0,2024-04-09,T
-9223372030095894406,-9223372036850185920,24.0,VI,C4,11,16,4,2024,,1.0,2024-04-16,T
-9223372030107501887,-9223372036849356394,97.0,LC,C4,11,22,4,2024,,1.0,2024-04-22,T
-9223372030211512541,-9223372036849284443,1.0,TO,C4,11,10,4,2024,,1.0,2024-04-10,T
-9223372030050623823,-9223372036845250122,17.0,BS,C4,11,20,5,2024,,,2024-05-20,P
-9223372029449009454,-9223372036848591709,22.0,TN,C4,11,14,7,2024,,,2024-07-14,P
-9223372029585443080,-9223372036828942505,21.0,BZ,C4,11,18,7,2024,,,2024-07-18,T
-9223372029741708534,-9223372036845316228,16.0,BG,C4,11,1,7,2024,,1.0,2024-07-01,T
-9223372029500770789,-9223372036832303032,14.0,SO,C4,11,11,8,2024,,,2024-08-11,P
