idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,IcdaIndiceComplessivoDupliceAttitudine,AccuratezzaCalcoloIndice,TipoIndice,FrequenzaCalcolo,AnnoDiRiferimento,IdaIndiceDiDupliceAttitudine
-9223372033074810482,-9223372036835156519,,,C4,11,24,10,2022,124.53,96.9,GENETICO,semestrale,2022,
-9223372033074810494,-9223372036812105905,,,C4,11,24,10,2022,-22.37,86.0,GENETICO,semestrale,2022,
-9223372033074810500,-9223372036835156520,,,C4,11,24,10,2022,201.58,91.8,GENETICO,semestrale,2022,
-9223372033074810512,-9223372036829778865,,,C4,11,24,10,2022,54.38,86.1,GENETICO,semestrale,2022,
-9223372033074810525,-9223372036829778866,,,C4,11,24,10,2022,195.64,84.8,GENETICO,semestrale,2022,
-9223372033074810537,-9223372036829778867,,,C4,11,24,10,2022,75.7,85.0,GENETICO,semestrale,2022,
-9223372033074810543,-9223372036835156523,,,C4,11,24,10,2022,134.92,94.5,GENETICO,semestrale,2022,
-9223372033074810555,-9223372036835156524,,,C4,11,24,10,2022,-11.63,97.9,GENETICO,semestrale,2022,
-9223372033074810567,-9223372036835156525,,,C4,11,24,10,2022,5.01,95.2,GENETICO,semestrale,2022,
-9223372033074810579,-9223372036835156527,,,C4,11,24,10,2022,-16.7,94.3,GENETICO,semestrale,2022,
-9223372033074810585,-9223372036835156529,,,C4,11,24,10,2022,264.87,97.4,GENETICO,semestrale,2022,
-9223372033074810598,-9223372036835156532,,,C4,11,24,10,2022,36.78,93.8,GENETICO,semestrale,2022,
-9223372033074810610,-9223372036835156533,,,C4,11,24,10,2022,434.55,97.1,GENETICO,semestrale,2022,
-9223372033074810622,-9223372036835156534,,,C4,11,24,10,2022,140.51,89.4,GENETICO,semestrale,2022,
-9223372033074810628,-9223372036829778869,,,C4,11,24,10,2022,150.23,87.6,GENETICO,semestrale,2022,
-9223372033074810640,-9223372036835156537,,,C4,11,24,10,2022,132.31,92.6,GENETICO,semestrale,2022,
-9223372033074810652,-9223372036835156540,,,C4,11,24,10,2022,13.69,96.6,GENETICO,semestrale,2022,
-9223372033074810664,-9223372036829778870,,,C4,11,24,10,2022,97.61,85.8,GENETICO,semestrale,2022,
-9223372033074810676,-9223372036835156541,,,C4,11,24,10,2022,68.52,96.7,GENETICO,semestrale,2022,
-9223372033074810682,-9223372036835156543,,,C4,11,24,10,2022,276.32,96.5,GENETICO,semestrale,2022,
-9223372033074810694,-9223372036845702450,,,C4,11,24,10,2022,331.84,83.2,GENETICO,semestrale,2022,
-9223372033074810721,-9223372036846022132,,,C4,11,24,10,2022,80.52,84.3,GENETICO,semestrale,2022,
-9223372033074810733,-9223372036846091666,,,C4,11,24,10,2022,347.24,84.4,GENETICO,semestrale,2022,
-9223372033074810739,-9223372036846947755,,,C4,11,24,10,2022,871.29,88.1,GENETICO,semestrale,2022,
-9223372033074810751,-9223372036809480771,,,C4,11,24,10,2022,434.47,83.2,GENETICO,semestrale,2022,
-9223372033074810757,-9223372036846947859,,,C4,11,24,10,2022,352.59,87.1,GENETICO,semestrale,2022,
-9223372033074810769,-9223372036846947894,,,C4,11,24,10,2022,671.66,85.8,GENETICO,semestrale,2022,
-9223372033074810781,-9223372036846948042,,,C4,11,24,10,2022,156.14,83.4,GENETICO,semestrale,2022,
-9223372033074810787,-9223372036846948050,,,C4,11,24,10,2022,344.2,86.4,GENETICO,semestrale,2022,
-9223372033074810799,-9223372036846948062,,,C4,11,24,10,2022,297.49,87.8,GENETICO,semestrale,2022,
-9223372033074810805,-9223372036846948114,,,C4,11,24,10,2022,774.38,86.8,GENETICO,semestrale,2022,
-9223372033074810817,-9223372036846009244,,,C4,11,24,10,2022,656.93,87.3,GENETICO,semestrale,2022,
-9223372033074810829,-9223372036846948207,,,C4,11,24,10,2022,662.57,87.3,GENETICO,semestrale,2022,
-9223372033074810835,-9223372036846948456,,,C4,11,24,10,2022,167.01,88.4,GENETICO,semestrale,2022,
-9223372033074810850,-9223372036846154727,,,C4,11,24,10,2022,247.78,86.7,GENETICO,semestrale,2022,
-9223372033074810862,-9223372036846948568,,,C4,11,24,10,2022,685.44,84.9,GENETICO,semestrale,2022,
-9223372033074810868,-9223372036846948666,,,C4,11,24,10,2022,529.32,87.1,GENETICO,semestrale,2022,
-9223372033074810880,-9223372036835156545,,,C4,11,24,10,2022,462.85,87.1,GENETICO,semestrale,2022,
-9223372033074810892,-9223372036846948711,,,C4,11,24,10,2022,353.13,86.6,GENETICO,semestrale,2022,
-9223372033074810904,-9223372036846948714,,,C4,11,24,10,2022,179.62,85.2,GENETICO,semestrale,2022,
-9223372033074810916,-9223372036835156546,,,C4,11,24,10,2022,162.22,89.3,GENETICO,semestrale,2022,
-9223372033074810928,-9223372036846948800,,,C4,11,24,10,2022,312.84,87.2,GENETICO,semestrale,2022,
-9223372033074810934,-9223372036846948847,,,C4,11,24,10,2022,836.07,87.1,GENETICO,semestrale,2022,
-9223372033074810946,-9223372036835156547,,,C4,11,24,10,2022,475.88,89.1,GENETICO,semestrale,2022,
-9223372033074810958,-9223372036846948947,,,C4,11,24,10,2022,275.47,88.0,GENETICO,semestrale,2022,
-9223372033074810970,-9223372036835156548,,,C4,11,24,10,2022,441.61,86.8,GENETICO,semestrale,2022,
-9223372033074810985,-9223372036846948976,,,C4,11,24,10,2022,485.98,89.0,GENETICO,semestrale,2022,
-9223372033074810991,-9223372036835156549,,,C4,11,24,10,2022,238.52,87.8,GENETICO,semestrale,2022,
-9223372033074811018,-9223372036835156550,,,C4,11,24,10,2022,193.82,88.2,GENETICO,semestrale,2022,
-9223372033074811030,-9223372036846949094,,,C4,11,24,10,2022,270.34,85.8,GENETICO,semestrale,2022,
-9223372033074811039,-9223372036835156551,,,C4,11,24,10,2022,156.95,84.7,GENETICO,semestrale,2022,
-9223372033074811051,-9223372036835156552,,,C4,11,24,10,2022,118.83,86.9,GENETICO,semestrale,2022,
-9223372033074811063,-9223372036835156553,,,C4,11,24,10,2022,51.34,85.7,GENETICO,semestrale,2022,
-9223372033074811069,-9223372036846949178,,,C4,11,24,10,2022,698.03,85.8,GENETICO,semestrale,2022,
-9223372033074811081,-9223372036835156554,,,C4,11,24,10,2022,137.43,83.0,GENETICO,semestrale,2022,
-9223372033074811093,-9223372036835156555,,,C4,11,24,10,2022,317.15,90.0,GENETICO,semestrale,2022,
-9223372033074811099,-9223372036846949253,,,C4,11,24,10,2022,270.01,91.0,GENETICO,semestrale,2022,
-9223372033074811111,-9223372036835156556,,,C4,11,24,10,2022,553.09,89.4,GENETICO,semestrale,2022,
-9223372033074811123,-9223372036835156557,,,C4,11,24,10,2022,505.86,89.4,GENETICO,semestrale,2022,
-9223372033074811135,-9223372036835156558,,,C4,11,24,10,2022,185.94,90.4,GENETICO,semestrale,2022,
-9223372033074811147,-9223372036835156559,,,C4,11,24,10,2022,339.68,88.0,GENETICO,semestrale,2022,
-9223372033074811159,-9223372036835156561,,,C4,11,24,10,2022,53.28,87.9,GENETICO,semestrale,2022,
-9223372033074811165,-9223372036835156562,,,C4,11,24,10,2022,460.1,91.1,GENETICO,semestrale,2022,
-9223372033074811177,-9223372036835156563,,,C4,11,24,10,2022,423.12,92.1,GENETICO,semestrale,2022,
-9223372033074811189,-9223372036835156564,,,C4,11,24,10,2022,361.84,87.8,GENETICO,semestrale,2022,
-9223372033074811201,-9223372036835156565,,,C4,11,24,10,2022,36.6,90.9,GENETICO,semestrale,2022,
-9223372033074811207,-9223372036835156566,,,C4,11,24,10,2022,474.65,89.3,GENETICO,semestrale,2022,
-9223372033074811219,-9223372036835156567,,,C4,11,24,10,2022,69.89,90.4,GENETICO,semestrale,2022,
-9223372033074811231,-9223372036835156568,,,C4,11,24,10,2022,268.13,91.1,GENETICO,semestrale,2022,
-9223372033074811243,-9223372036835156569,,,C4,11,24,10,2022,751.19,86.0,GENETICO,semestrale,2022,
-9223372033074811249,-9223372036835156571,,,C4,11,24,10,2022,55.38,92.1,GENETICO,semestrale,2022,
-9223372033074811261,-9223372036835156572,,,C4,11,24,10,2022,162.2,86.5,GENETICO,semestrale,2022,
-9223372033074811273,-9223372036835156573,,,C4,11,24,10,2022,373.92,84.2,GENETICO,semestrale,2022,
-9223372033074811285,-9223372036835156574,,,C4,11,24,10,2022,406.79,82.0,GENETICO,semestrale,2022,
-9223372033074811300,-9223372036835156576,,,C4,11,24,10,2022,477.9,90.4,GENETICO,semestrale,2022,
-9223372033074811312,-9223372036829778871,,,C4,11,24,10,2022,653.16,81.2,GENETICO,semestrale,2022,
-9223372033074811318,-9223372036835156577,,,C4,11,24,10,2022,166.18,86.2,GENETICO,semestrale,2022,
-9223372033074811330,-9223372036835156578,,,C4,11,24,10,2022,144.23,85.8,GENETICO,semestrale,2022,
-9223372033074811336,-9223372036835156579,,,C4,11,24,10,2022,433.44,88.9,GENETICO,semestrale,2022,
-9223372033074811348,-9223372036835156580,,,C4,11,24,10,2022,1000.56,93.9,GENETICO,semestrale,2022,
