idAnimale,num_successful_pregnancy,num_problematic_pregnancy
-9223372036845469640,0,1
-9223372036849401793,4,0
-9223372036849401792,2,0
-9223372036849401791,1,0
-9223372036849401790,4,0
-9223372036849401771,2,0
-9223372036849401770,3,0
-9223372036849401763,7,0
-9223372036849139618,6,0
-9223372036848615317,2,0
-9223372036848615316,7,0
-9223372036847959886,1,1
-9223372036847435568,1,0
-9223372036849139489,5,0
-9223372036847435548,1,0
-9223372036847435547,1,0
-9223372036844682986,0,1
-9223372036834983657,1,0
-9223372036848615117,1,0
-9223372036848615116,1,0
-9223372036849139400,1,0
-9223372036845469354,2,0
-9223372036799594154,2,0
-9223372036845469352,2,0
-9223372036834983564,0,1
-9223372036848615021,1,0
-9223372036848615020,4,0
-9223372036848615019,1,0
-9223372036848615018,1,0
-9223372036848615017,4,0
-9223372036848615016,4,0
-9223372036848615014,5,0
-9223372036848615013,4,0
-9223372036848615008,4,0
-9223372036848615005,7,0
-9223372036848615004,1,0
-9223372036848615003,3,0
-9223372036848615002,1,0
-9223372036848615001,5,0
-9223372036848615000,1,0
-9223372036848614999,2,0
-9223372036848614998,2,0
-9223372036848614997,1,0
-9223372036848614995,2,0
-9223372036848614993,5,0
-9223372036848614992,1,0
-9223372036848614991,3,0
-9223372036848614989,5,0
-9223372036848614988,6,0
-9223372036848614987,2,0
-9223372036848614986,6,0
-9223372036848614984,6,0
-9223372036848614981,5,0
-9223372036848614979,3,0
-9223372036848614978,4,0
-9223372036848614977,4,0
-9223372036848614971,1,0
-9223372036848614970,5,0
-9223372036848614969,4,0
-9223372036836294199,3,0
-9223372036849139254,1,0
-9223372036833672749,1,0
-9223372036834983449,1,0
-9223372036849139221,6,0
-9223372036845075984,2,0
-9223372036834983418,1,0
-9223372036833541625,3,0
-9223372036849139183,2,0
-9223372036845993450,2,0
-9223372036831182309,1,0
-9223372036844682722,2,0
-9223372036845469128,2,0
-9223372036844682686,4,0
-9223372036844682679,1,0
-9223372036847173013,2,0
-9223372036849139085,3,0
-9223372036847828316,1,0
-9223372036847828243,3,0
-9223372036847828242,5,0
-9223372036834983181,1,0
-9223372036830657803,1,0
-9223372036847828222,1,0
-9223372036845731070,3,0
-9223372036847959290,4,0
-9223372036847959289,1,0
-9223372036847959287,1,0
-9223372036809555190,1,0
-9223372036809555176,3,0
-9223372036848614631,1,0
-9223372036849138913,5,0
-9223372036848614625,5,0
-9223372036848614623,5,0
-9223372036848614624,3,0
-9223372036848614621,1,0
-9223372036848614620,1,0
-9223372036848614619,1,0
-9223372036848614618,6,0
-9223372036848614617,2,0
-9223372036848614616,1,0
-9223372036848614615,6,0
-9223372036848614614,2,0
-9223372036848614613,1,0
-9223372036848614612,4,0
-9223372036848614611,6,0
-9223372036848614610,6,0
-9223372036848614609,2,0
-9223372036848614608,1,0
-9223372036848614607,2,0
