idAnimale,mean,std,count
-9223372036845797371,-0.511,0.0,1
-9223372036848123897,-0.5252564102564101,0.0037738503001708964,39
-9223372036845833597,-0.5100833333333333,0.0034268141991586846,12
-9223372036847632358,-0.5263684210526316,0.008241170882036443,19
-9223372036848648160,-0.52,0.0,1
-9223372036847992795,-0.5198636363636364,0.017128645476737765,22
-9223372036848614600,-0.51625,0.004493050188902861,4
-9223372036845797331,-0.5332000000000001,0.0029933259094191557,5
-9223372036845535186,-0.5158571428571428,0.004882287854467165,14
-9223372036844224467,-0.52,0.0,2
-9223372036845833592,-0.5202500000000001,0.00553962995154009,8
-9223372036848648140,-0.5106999999999999,0.005404627646748669,10
-9223372036848648139,-0.5199090909090909,0.006258877992021281,11
-9223372036832670595,-0.5234,0.0045869379764718905,5
-9223372036848648137,-0.5231250000000001,0.005005933978789577,40
-9223372036845469640,-0.5289166666666666,0.012072408854721406,12
-9223372036848648133,-0.5216956521739131,0.005683192478579473,23
-9223372036848648132,-0.5240000000000001,0.006703233050799697,30
-9223372036848648131,-0.5221904761904762,0.0056028823162219965,21
-9223372036848648129,-0.5185000000000001,0.003698455275999894,14
-9223372036849401792,-0.518,0.0,1
-9223372036848648127,-0.522375,0.006781177995009428,8
-9223372036849401790,-0.5268333333333334,0.01347116261583322,6
-9223372036848648125,-0.5164545454545454,0.0037078206380969326,44
-9223372036848648124,-0.5197941176470587,0.004509985077350469,34
-9223372036849401793,-0.5230999999999999,0.007327346040688954,10
-9223372036848648122,-0.5189062499999999,0.0044536458028788094,32
-9223372036848648121,-0.5182580645161291,0.004095376952483676,31
-9223372036844231414,-0.528,0.004979959839195498,10
-9223372036849401770,-0.525,0.0066520673478250416,8
-9223372036849401763,-0.528090909090909,0.011049101530355281,11
-9223372036849139618,-0.5224827586206897,0.004591000864924343,29
-9223372036845797282,-0.5218181818181818,0.005828116518118044,11
-9223372036845797280,-0.52728,0.004927636350219043,25
-9223372036845797276,-0.5208095238095238,0.005762101531468965,21
-9223372036845797275,-0.5345238095238095,0.006426278250604706,21
-9223372036848615317,-0.5179999999999999,0.005537749241945388,6
-9223372036848615316,-0.5227391304347826,0.008613525215332036,23
-9223372036836199142,-0.523,0.004082482904638634,3
-9223372036845797258,-0.5277999999999999,0.0054369108876272795,10
-9223372036849106817,-0.5204666666666667,0.004924316083365175,15
-9223372036836199141,-0.527,0.0,1
-9223372036845797237,-0.5205,0.005704008615501413,14
-9223372036845797235,-0.5253529411764707,0.004639233918383617,17
