idAnimale,mean,std,count
-9223372036845797371,102.0,0.0,1
-9223372036848123897,97.0,0.0,1
-9223372036845797367,101.0,0.0,1
-9223372036845797366,101.0,0.0,1
-9223372036847337461,98.0,0.0,1
-9223372036846485482,102.0,0.0,1
-9223372036847632358,107.0,0.0,1
-9223372036845993952,98.0,0.0,1
-9223372036847992795,102.0,0.0,1
-9223372036845797331,108.0,0.0,1
-9223372036845535186,102.0,0.0,1
-9223372036845993939,104.0,0.0,1
-9223372036848648137,100.0,0.0,1
-9223372036845469640,100.0,0.0,1
-9223372036848648133,102.0,0.0,1
-9223372036848648132,94.0,0.0,1
-9223372036848648131,98.0,0.0,1
-9223372036849401793,110.0,0.0,1
-9223372036849401792,105.0,0.0,1
-9223372036846485439,92.0,0.0,1
-9223372036846485438,92.0,0.0,1
-9223372036846485437,109.0,0.0,1
-9223372036847894463,102.0,0.0,1
-9223372036846485435,99.0,0.0,1
-9223372036846485434,104.0,0.0,1
-9223372036849401790,101.0,0.0,1
-9223372036848648121,112.0,0.0,1
-9223372036848648122,106.0,0.0,1
-9223372036848648125,104.0,0.0,1
-9223372036848648124,113.0,0.0,1
-9223372036846485426,109.0,0.0,1
-9223372036849401771,103.0,0.0,1
-9223372036849401770,98.0,0.0,1
-9223372036849401763,95.0,0.0,1
-9223372036845797282,100.0,0.0,1
-9223372036849139618,105.0,0.0,1
-9223372036845797280,108.0,0.0,1
-9223372036845797276,103.0,0.0,1
-9223372036845797275,100.0,0.0,1
-9223372036848615316,87.0,0.0,1
-9223372036845797258,94.0,0.0,1
-9223372036845797257,101.0,0.0,1
-9223372036846485371,104.0,0.0,1
-9223372036844453752,108.0,0.0,1
-9223372036845797235,93.0,0.0,1
-9223372036845797234,109.0,0.0,1
-9223372036848648048,97.0,0.0,1
-9223372036846026606,110.0,0.0,1
-9223372036846026605,110.0,0.0,1
-9223372036848648038,103.0,0.0,1
-9223372036844224355,103.0,0.0,1
-9223372036844224354,99.0,0.0,1
-9223372036845436765,94.0,0.0,1
-9223372036844978012,104.0,0.0,1
-9223372036850548570,110.0,0.0,1
-9223372036845535065,96.0,0.0,1
-9223372036848123732,109.0,0.0,1
-9223372036844224337,102.0,0.0,1
-9223372036847959886,109.0,0.0,1
-9223372036845797190,97.0,0.0,1
-9223372036844224320,106.0,0.0,1
-9223372036850548542,97.0,0.0,1
-9223372036848123706,95.0,0.0,1
-9223372036848123704,102.0,0.0,1
-9223372036848647989,110.0,0.0,1
-9223372036848123700,112.0,0.0,1
-9223372036848123695,105.0,0.0,1
-9223372036848123683,105.0,0.0,1
-9223372036848123682,99.0,0.0,1
