,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,PagDiagnosiDiGravidanza,DataAnalisiPag,NumeroCampionePag,identifying_column
42,-9223372036723833034,-9223372036848662058,21,BZ,C4,11,7,11,2017,NEGATIVA,2017-11-07,116.0,-9223372036848662058_2017-11-07
43,-9223372036723833113,-9223372036848657786,21,BZ,C4,11,4,11,2017,NEGATIVA,2017-11-04,40.0,-9223372036848657786_2017-11-04
44,-9223372036723833227,-9223372036848633087,21,BZ,C4,11,3,11,2017,NEGATIVA,2017-11-03,118.0,-9223372036848633087_2017-11-03
45,-9223372036723833230,-9223372036848644075,21,BZ,C4,11,3,11,2017,POSITIVA,2017-11-03,109.0,-9223372036848644075_2017-11-03
46,-9223372036723833291,-9223372036848626504,21,BZ,C4,11,1,11,2017,POSITIVA,2017-11-01,49.0,-9223372036848626504_2017-11-01
47,-9223372036723833294,-9223372036848662480,21,BZ,C4,11,1,11,2017,NEGATIVA,2017-11-01,42.0,-9223372036848662480_2017-11-01
48,-9223372036723833326,-9223372036842213441,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,15.0,-9223372036842213441_2017-11-04
49,-9223372036723833340,-9223372036848636819,21,BZ,C4,11,4,11,2017,POSITIVA,2017-11-04,52.0,-9223372036848636819_2017-11-04
50,-9223372036723833343,-9223372036848644056,21,BZ,C4,11,4,11,2017,NEGATIVA,2017-11-04,50.0,-9223372036848644056_2017-11-04
51,-9223372036723833350,-9223372036848644058,21,BZ,C4,11,4,11,2017,NEGATIVA,2017-11-04,53.0,-9223372036848644058_2017-11-04
52,-9223372036723833371,-9223372036848657785,21,BZ,C4,11,4,11,2017,RIVEDIBILE,2017-11-04,39.0,-9223372036848657785_2017-11-04
53,-9223372036723833390,-9223372036848627122,21,BZ,C4,11,2,11,2017,POSITIVA,2017-11-02,94.0,-9223372036848627122_2017-11-02
54,-9223372036723833395,-9223372036848640248,21,BZ,C4,11,2,11,2017,POSITIVA,2017-11-02,88.0,-9223372036848640248_2017-11-02
55,-9223372036723833440,-9223372036848658020,21,BZ,C4,11,25,11,2017,NEGATIVA,2017-11-25,42.0,-9223372036848658020_2017-11-25
56,-9223372036723833512,-9223372036848633060,21,BZ,C4,11,23,11,2017,POSITIVA,2017-11-23,24.0,-9223372036848633060_2017-11-23
57,-9223372036723833560,-9223372036848631787,21,BZ,C4,11,23,11,2017,POSITIVA,2017-11-23,8.0,-9223372036848631787_2017-11-23
58,-9223372036723833561,-9223372036848646653,21,BZ,C4,11,23,11,2017,POSITIVA,2017-11-23,6.0,-9223372036848646653_2017-11-23
59,-9223372036723833594,-9223372036848661805,21,BZ,C4,11,2,11,2017,POSITIVA,2017-11-02,52.0,-9223372036848661805_2017-11-02
60,-9223372036723833627,-9223372036848627510,21,BZ,C4,11,1,11,2017,POSITIVA,2017-11-01,50.0,-9223372036848627510_2017-11-01
61,-9223372036723833629,-9223372036848636176,21,BZ,C4,11,1,11,2017,POSITIVA,2017-11-01,49.0,-9223372036848636176_2017-11-01
62,-9223372036723833711,-9223372036848633481,21,BZ,C4,11,13,11,2017,NEGATIVA,2017-11-13,63.0,-9223372036848633481_2017-11-13
63,-9223372036723833849,-9223372036848642416,21,BZ,C4,11,8,11,2017,POSITIVA,2017-11-08,45.0,-9223372036848642416_2017-11-08
64,-9223372036723833851,-9223372036848662163,21,BZ,C4,11,8,11,2017,NEGATIVA,2017-11-08,37.0,-9223372036848662163_2017-11-08
65,-9223372036723834068,-9223372036848622589,21,BZ,C4,11,30,11,2017,POSITIVA,2017-11-30,94.0,-9223372036848622589_2017-11-30
66,-9223372036723834076,-9223372036848659224,21,BZ,C4,11,30,11,2017,NEGATIVA,2017-11-30,81.0,-9223372036848659224_2017-11-30
67,-9223372036723834164,-9223372036848622696,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,164.0,-9223372036848622696_2017-11-17
68,-9223372036723834165,-9223372036848626021,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,163.0,-9223372036848626021_2017-11-17
69,-9223372036723834168,-9223372036848655693,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,145.0,-9223372036848655693_2017-11-17
70,-9223372036723834207,-9223372036848653939,21,BZ,C4,11,12,11,2017,NEGATIVA,2017-11-12,48.0,-9223372036848653939_2017-11-12
71,-9223372036723834217,-9223372036848654199,21,BZ,C4,11,18,11,2017,POSITIVA,2017-11-18,62.0,-9223372036848654199_2017-11-18
72,-9223372036723834223,-9223372036848648987,21,BZ,C4,11,15,11,2017,POSITIVA,2017-11-15,46.0,-9223372036848648987_2017-11-15
73,-9223372036723834226,-9223372036848659723,21,BZ,C4,11,15,11,2017,NEGATIVA,2017-11-15,41.0,-9223372036848659723_2017-11-15
74,-9223372036723834327,-9223372036848633350,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,19.0,-9223372036848633350_2017-11-11
75,-9223372036723834329,-9223372036848645095,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,16.0,-9223372036848645095_2017-11-11
76,-9223372036723834334,-9223372036848654361,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,12.0,-9223372036848654361_2017-11-11
77,-9223372036723834339,-9223372036848661530,21,BZ,C4,11,11,11,2017,POSITIVA,2017-11-11,2.0,-9223372036848661530_2017-11-11
78,-9223372036723834475,-9223372036848661114,21,BZ,C4,11,16,11,2017,POSITIVA,2017-11-16,91.0,-9223372036848661114_2017-11-16
79,-9223372036723834666,-9223372036848621532,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,358.0,-9223372036848621532_2017-11-28
80,-9223372036723834669,-9223372036848624554,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,353.0,-9223372036848624554_2017-11-28
81,-9223372036723834671,-9223372036848629170,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,342.0,-9223372036848629170_2017-11-28
82,-9223372036723834673,-9223372036848632299,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,340.0,-9223372036848632299_2017-11-28
83,-9223372036723834674,-9223372036848632300,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,345.0,-9223372036848632300_2017-11-28
84,-9223372036723834675,-9223372036848632353,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,341.0,-9223372036848632353_2017-11-28
85,-9223372036723834688,-9223372036848661719,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,259.0,-9223372036848661719_2017-11-28
86,-9223372036723834692,-9223372036849887615,21,BZ,C4,11,28,11,2017,POSITIVA,2017-11-28,357.0,-9223372036849887615_2017-11-28
87,-9223372036723834699,-9223372036848659371,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,43.0,-9223372036848659371_2017-11-13
88,-9223372036723834700,-9223372036848660291,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,40.0,-9223372036848660291_2017-11-13
89,-9223372036723834701,-9223372036849095193,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,48.0,-9223372036849095193_2017-11-13
90,-9223372036723834705,-9223372036849312638,21,BZ,C4,11,13,11,2017,POSITIVA,2017-11-13,49.0,-9223372036849312638_2017-11-13
91,-9223372036723834810,-9223372036848624522,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,81.0,-9223372036848624522_2017-11-17
92,-9223372036723834813,-9223372036848632348,21,BZ,C4,11,17,11,2017,POSITIVA,2017-11-17,78.0,-9223372036848632348_2017-11-17
