,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
0,-9223372036850185485,-9223372036797225320,24,VI,C4,11,Caseina,2.65,g/100 g,28,11,2017,-9223372036850185485_2017
2,-9223372036848618390,-9223372036794517173,21,BZ,C4,11,Caseina,2.44,g/100 g,27,11,2017,-9223372036848618390_2017
7,-9223372036848637775,-9223372036794472235,21,BZ,C4,11,Caseina,4.07,g/100 g,21,11,2017,-9223372036848637775_2017
11,-9223372036848655058,-9223372036792537216,24,VI,C4,11,Caseina,3.24,g/100 g,28,11,2017,-9223372036848655058_2017
13,-9223372036848600500,-9223372036791414941,22,TN,C4,11,Caseina,3.65,g/100 g,10,11,2017,-9223372036848600500_2017
16,-9223372036848656036,-9223372036799249084,1,TO,C4,11,Caseina,2.79,g/100 g,22,11,2017,-9223372036848656036_2017
17,-9223372036849087935,-9223372036796762584,1,TO,C4,11,Caseina,2.75,g/100 g,29,11,2017,-9223372036849087935_2017
18,-9223372036849927804,-9223372036795802976,4,CN,C4,11,Caseina,2.69,g/100 g,27,11,2017,-9223372036849927804_2017
19,-9223372036848654593,-9223372036794637530,96,BI,C4,11,Caseina,2.9,g/100 g,22,11,2017,-9223372036848654593_2017
21,-9223372036848620468,-9223372036794493739,21,BZ,C4,11,Caseina,2.8,g/100 g,18,11,2017,-9223372036848620468_2017
28,-9223372036848659343,-9223372036794400244,21,BZ,C4,11,Caseina,2.7,g/100 g,26,11,2017,-9223372036848659343_2017
32,-9223372036848647127,-9223372036794178554,22,TN,C4,11,Caseina,2.67,g/100 g,9,11,2017,-9223372036848647127_2017
36,-9223372036849065137,-9223372036790633820,1,TO,C4,11,Caseina,2.55,g/100 g,10,11,2017,-9223372036849065137_2017
38,-9223372036848658891,-9223372036790586554,21,BZ,C4,11,Caseina,2.24,g/100 g,28,11,2017,-9223372036848658891_2017
54,-9223372036848662501,-9223372036794469203,21,BZ,C4,11,Caseina,2.44,g/100 g,28,11,2017,-9223372036848662501_2017
59,-9223372036848658062,-9223372036794401523,21,BZ,C4,11,Caseina,3.2,g/100 g,13,11,2017,-9223372036848658062_2017
67,-9223372036849048714,-9223372036790913689,1,TO,C4,11,Caseina,2.43,g/100 g,30,11,2017,-9223372036849048714_2017
69,-9223372036849126676,-9223372036790576309,21,BZ,C4,11,Caseina,2.83,g/100 g,23,11,2017,-9223372036849126676_2017
70,-9223372036848651449,-9223372036790570060,21,BZ,C4,11,Caseina,2.92,g/100 g,30,11,2017,-9223372036848651449_2017
71,-9223372036848605204,-9223372036790505850,22,TN,C4,11,Caseina,2.35,g/100 g,17,11,2017,-9223372036848605204_2017
72,-9223372036844316282,-9223372034205214612,21,BZ,C4,11,Caseina,3.04,g/100 g,29,11,2017,-9223372036844316282_2017
73,-9223372036849245665,-9223372036795791271,1,TO,C4,11,Caseina,2.62,g/100 g,30,11,2017,-9223372036849245665_2017
77,-9223372036848658479,-9223372036794480329,21,BZ,C4,11,Caseina,3.22,g/100 g,26,11,2017,-9223372036848658479_2017
79,-9223372036848661300,-9223372036794446365,21,BZ,C4,11,Caseina,2.95,g/100 g,17,11,2017,-9223372036848661300_2017
81,-9223372036848655400,-9223372036794419914,21,BZ,C4,11,Caseina,2.92,g/100 g,28,11,2017,-9223372036848655400_2017
87,-9223372036848655961,-9223372036791546629,21,BZ,C4,11,Caseina,3.25,g/100 g,26,11,2017,-9223372036848655961_2017
91,-9223372036848653966,-9223372036791517502,21,BZ,C4,11,Caseina,2.75,g/100 g,6,11,2017,-9223372036848653966_2017
96,-9223372036848570514,-9223372036798330212,24,VI,C4,11,Caseina,2.2,g/100 g,10,11,2017,-9223372036848570514_2017
