,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,GoodSeparationGose,CelluleSomaticheDifferenzialiDscc,DataAnalisiDscc,NumeroCampioneDscc,full_date,identifying_column
33,-9223372036733444146,-9223372036850183266,24,VI,C4,11,15,2,2018,1.0,33.6,2018-02-15,11384584,2018-02-15,-9223372036850183266_2018-02-15
34,-9223372036733466157,-9223372036850183262,24,VI,C4,11,15,2,2018,1.0,59.8,2018-02-15,11384864,2018-02-15,-9223372036850183262_2018-02-15
35,-9223372036733549423,-9223372036848662478,24,VI,C4,11,15,2,2018,1.0,71.8,2018-02-15,11384879,2018-02-15,-9223372036848662478_2018-02-15
36,-9223372036733568210,-9223372036848914553,13,CO,C4,11,21,2,2018,,81.2,2018-02-21,74086978,2018-02-21,-9223372036848914553_2018-02-21
37,-9223372036733576773,-9223372036848629487,13,CO,C4,11,22,2,2018,,45.3,2018-02-22,70200908,2018-02-22,-9223372036848629487_2018-02-22
38,-9223372036733613496,-9223372036848656749,25,BL,C4,11,19,2,2018,1.0,63.3,2018-02-19,73612319,2018-02-19,-9223372036848656749_2018-02-19
39,-9223372036733632747,-9223372036850185840,24,VI,C4,11,15,2,2018,1.0,45.2,2018-02-15,11384860,2018-02-15,-9223372036850185840_2018-02-15
40,-9223372036733664597,-9223372036850185986,24,VI,C4,11,15,2,2018,1.0,60.7,2018-02-15,11384564,2018-02-15,-9223372036850185986_2018-02-15
41,-9223372036733670516,-9223372036849667254,24,VI,C4,11,15,2,2018,1.0,87.3,2018-02-15,11391266,2018-02-15,-9223372036849667254_2018-02-15
42,-9223372036733710009,-9223372036849516329,25,BL,C4,11,19,2,2018,1.0,33.6,2018-02-19,73602962,2018-02-19,-9223372036849516329_2018-02-19
43,-9223372036733717002,-9223372036848652859,25,BL,C4,11,16,2,2018,1.0,67.8,2018-02-16,73602368,2018-02-16,-9223372036848652859_2018-02-16
44,-9223372036733745034,-9223372036850183338,24,VI,C4,11,15,2,2018,1.0,39.7,2018-02-15,11384912,2018-02-15,-9223372036850183338_2018-02-15
45,-9223372036733773877,-9223372036849966144,25,BL,C4,11,15,2,2018,1.0,56.6,2018-02-15,73565760,2018-02-15,-9223372036849966144_2018-02-15
46,-9223372036733786074,-9223372036850186277,24,VI,C4,11,15,2,2018,1.0,44.9,2018-02-15,11384900,2018-02-15,-9223372036850186277_2018-02-15
47,-9223372036733789765,-9223372036850186266,24,VI,C4,11,15,2,2018,1.0,87.1,2018-02-15,11384977,2018-02-15,-9223372036850186266_2018-02-15
48,-9223372036733806015,-9223372036850185958,24,VI,C4,11,15,2,2018,1.0,46.7,2018-02-15,11385055,2018-02-15,-9223372036850185958_2018-02-15
49,-9223372036733864741,-9223372036850291014,17,BS,C4,11,28,2,2018,,79.5,2018-02-28,76239466,2018-02-28,-9223372036850291014_2018-02-28
50,-9223372036733903672,-9223372036848620110,17,BS,C4,11,28,2,2018,,78.4,2018-02-28,76239456,2018-02-28,-9223372036848620110_2018-02-28
51,-9223372036733905489,-9223372036848639576,25,BL,C4,11,22,2,2018,1.0,71.3,2018-02-22,73565761,2018-02-22,-9223372036848639576_2018-02-22
52,-9223372036733906193,-9223372036850208009,16,BG,C4,11,27,2,2018,,84.7,2018-02-27,75345712,2018-02-27,-9223372036850208009_2018-02-27
53,-9223372036733994040,-9223372036850186109,24,VI,C4,11,15,2,2018,1.0,81.3,2018-02-15,11384935,2018-02-15,-9223372036850186109_2018-02-15
54,-9223372036734020734,-9223372036850186255,24,VI,C4,11,15,2,2018,1.0,43.9,2018-02-15,11384902,2018-02-15,-9223372036850186255_2018-02-15
55,-9223372036734060511,-9223372036850291020,17,BS,C4,11,28,2,2018,,61.8,2018-02-28,76239554,2018-02-28,-9223372036850291020_2018-02-28
56,-9223372036734063615,-9223372036850185933,24,VI,C4,11,15,2,2018,1.0,52.6,2018-02-15,11385188,2018-02-15,-9223372036850185933_2018-02-15
57,-9223372036734081619,-9223372036848572699,24,VI,C4,11,15,2,2018,1.0,36.9,2018-02-15,11384815,2018-02-15,-9223372036848572699_2018-02-15
58,-9223372036734084118,-9223372036850186373,24,VI,C4,11,15,2,2018,1.0,74.3,2018-02-15,11384909,2018-02-15,-9223372036850186373_2018-02-15
59,-9223372036734084781,-9223372036850207999,16,BG,C4,11,27,2,2018,,76.7,2018-02-27,75345687,2018-02-27,-9223372036850207999_2018-02-27
60,-9223372036734156398,-9223372036850186579,24,VI,C4,11,15,2,2018,1.0,63.6,2018-02-15,11385058,2018-02-15,-9223372036850186579_2018-02-15
61,-9223372036734179610,-9223372036849090363,13,CO,C4,11,22,2,2018,,76.5,2018-02-22,70200992,2018-02-22,-9223372036849090363_2018-02-22
62,-9223372036734183765,-9223372036848632341,25,BL,C4,11,22,2,2018,1.0,83.1,2018-02-22,73566023,2018-02-22,-9223372036848632341_2018-02-22
63,-9223372036734190086,-9223372036850207922,16,BG,C4,11,27,2,2018,,73.0,2018-02-27,75346085,2018-02-27,-9223372036850207922_2018-02-27
64,-9223372036734212406,-9223372036850183357,24,VI,C4,11,15,2,2018,1.0,63.7,2018-02-15,11384952,2018-02-15,-9223372036850183357_2018-02-15
65,-9223372036734227236,-9223372036850176144,24,VI,C4,11,15,2,2018,1.0,70.9,2018-02-15,11384736,2018-02-15,-9223372036850176144_2018-02-15
66,-9223372036734227989,-9223372036849123183,24,VI,C4,11,15,2,2018,1.0,62.4,2018-02-15,11384843,2018-02-15,-9223372036849123183_2018-02-15
67,-9223372036734243762,-9223372036850291027,17,BS,C4,11,28,2,2018,,52.7,2018-02-28,76239827,2018-02-28,-9223372036850291027_2018-02-28
68,-9223372036734254098,-9223372036849800384,25,BL,C4,11,19,2,2018,1.0,71.8,2018-02-19,73602865,2018-02-19,-9223372036849800384_2018-02-19
69,-9223372036734286292,-9223372036850185852,24,VI,C4,11,15,2,2018,1.0,67.6,2018-02-15,11384888,2018-02-15,-9223372036850185852_2018-02-15
70,-9223372036734306827,-9223372036848554071,25,BL,C4,11,19,2,2018,1.0,37.8,2018-02-19,73602748,2018-02-19,-9223372036848554071_2018-02-19
71,-9223372036734308470,-9223372036848573635,24,VI,C4,11,15,2,2018,1.0,59.9,2018-02-15,11384893,2018-02-15,-9223372036848573635_2018-02-15
72,-9223372036733027932,-9223372036848553891,25,BL,C4,11,5,3,2018,1.0,78.7,2018-03-05,73484428,2018-03-05,-9223372036848553891_2018-03-05
73,-9223372036733033838,-9223372036849081816,14,SO,C4,11,20,3,2018,,45.0,2018-03-20,73786947,2018-03-20,-9223372036849081816_2018-03-20
74,-9223372036733047654,-9223372036848906190,17,BS,C4,11,9,3,2018,,72.6,2018-03-09,74380069,2018-03-09,-9223372036848906190_2018-03-09
