,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
364,-9223372036848611906,-9223372036715183797,21,BZ,C4,11,pH,6.62,,18,12,2018,-9223372036848611906_2018
365,-9223372036848627295,-9223372036715137075,21,BZ,C4,11,pH,6.56,,21,12,2018,-9223372036848627295_2018
366,-9223372036848637962,-9223372036715100871,21,BZ,C4,11,pH,6.62,,29,12,2018,-9223372036848637962_2018
367,-9223372036848662051,-9223372036714883347,21,BZ,C4,11,pH,6.45,,29,12,2018,-9223372036848662051_2018
368,-9223372036848634540,-9223372036715258467,21,BZ,C4,11,pH,6.66,,18,12,2018,-9223372036848634540_2018
369,-9223372036848637807,-9223372036715235589,21,BZ,C4,11,pH,6.56,,22,12,2018,-9223372036848637807_2018
370,-9223372036848619088,-9223372036715222234,21,BZ,C4,11,pH,6.59,,29,12,2018,-9223372036848619088_2018
371,-9223372036848631083,-9223372036715211933,21,BZ,C4,11,pH,6.63,,26,12,2018,-9223372036848631083_2018
372,-9223372036848630207,-9223372036715200206,21,BZ,C4,11,pH,6.63,,24,12,2018,-9223372036848630207_2018
373,-9223372036848648881,-9223372036715197822,21,BZ,C4,11,pH,6.4,,22,12,2018,-9223372036848648881_2018
374,-9223372036848614051,-9223372036715187911,21,BZ,C4,11,pH,6.6,,17,12,2018,-9223372036848614051_2018
375,-9223372036848611960,-9223372036715168603,21,BZ,C4,11,pH,6.56,,29,12,2018,-9223372036848611960_2018
376,-9223372036848653969,-9223372036715111859,21,BZ,C4,11,pH,6.57,,19,12,2018,-9223372036848653969_2018
377,-9223372036848619445,-9223372036715100427,21,BZ,C4,11,pH,6.59,,29,12,2018,-9223372036848619445_2018
378,-9223372036848634155,-9223372036714971601,21,BZ,C4,11,pH,6.63,,28,12,2018,-9223372036848634155_2018
379,-9223372036848617571,-9223372036714935353,21,BZ,C4,11,pH,6.64,,24,12,2018,-9223372036848617571_2018
380,-9223372036848655214,-9223372036714883452,21,BZ,C4,11,pH,6.66,,29,12,2018,-9223372036848655214_2018
381,-9223372036848608515,-9223372036715254539,21,BZ,C4,11,pH,6.55,,24,12,2018,-9223372036848608515_2018
382,-9223372036848618350,-9223372036715232644,21,BZ,C4,11,pH,6.6,,18,12,2018,-9223372036848618350_2018
383,-9223372036848641318,-9223372036715222057,21,BZ,C4,11,pH,6.59,,23,12,2018,-9223372036848641318_2018
384,-9223372036848648331,-9223372036715203944,21,BZ,C4,11,pH,6.45,,17,12,2018,-9223372036848648331_2018
385,-9223372036848649543,-9223372036715200311,21,BZ,C4,11,pH,6.59,,24,12,2018,-9223372036848649543_2018
