,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
47,-9223372036849384313,-9223372036791501236,24,VI,C4,11,Consistenza del coagulo (A30),45.04,mm,29,11,2017,-9223372036849384313_2017
48,-9223372036848573742,-9223372036794074418,24,VI,C4,11,Consistenza del coagulo (A30),10.6,mm,14,11,2017,-9223372036848573742_2017
49,-9223372036849525748,-9223372036791495892,24,VI,C4,11,Consistenza del coagulo (A30),21.38,mm,28,11,2017,-9223372036849525748_2017
50,-9223372036849920211,-9223372036795804736,23,VR,C4,11,Consistenza del coagulo (A30),25.53,mm,6,11,2017,-9223372036849920211_2017
51,-9223372036848527821,-9223372036795093791,30,UD,C4,11,Consistenza del coagulo (A30),0.8,mm,21,11,2017,-9223372036848527821_2017
52,-9223372036849920156,-9223372036795786142,23,VR,C4,11,Consistenza del coagulo (A30),14.38,mm,6,11,2017,-9223372036849920156_2017
53,-9223372036850263214,-9223372036797657638,24,VI,C4,11,Consistenza del coagulo (A30),27.56,mm,3,11,2017,-9223372036850263214_2017
54,-9223372036850176230,-9223372036797269459,24,VI,C4,11,Consistenza del coagulo (A30),39.32,mm,29,11,2017,-9223372036850176230_2017
55,-9223372036850370153,-9223372036792300488,25,BL,C4,11,Consistenza del coagulo (A30),13.15,mm,20,11,2017,-9223372036850370153_2017
56,-9223372036848571881,-9223372036797662520,24,VI,C4,11,Consistenza del coagulo (A30),11.82,mm,3,11,2017,-9223372036848571881_2017
57,-9223372036848662478,-9223372036797269448,24,VI,C4,11,Consistenza del coagulo (A30),40.5,mm,29,11,2017,-9223372036848662478_2017
58,-9223372036848662213,-9223372036797252105,24,VI,C4,11,Consistenza del coagulo (A30),29.31,mm,29,11,2017,-9223372036848662213_2017
59,-9223372036848568764,-9223372036792537211,24,VI,C4,11,Consistenza del coagulo (A30),28.9,mm,28,11,2017,-9223372036848568764_2017
60,-9223372036850183266,-9223372036792542932,24,VI,C4,11,Consistenza del coagulo (A30),34.3,mm,29,11,2017,-9223372036850183266_2017
