,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataDiagnosiGravidanza,EsitoDiagnosiGravidanza,full_date,identifying_column
41,-9223372036216431837,-9223372036848649845,21,BZ,C4,11,29,11,2017,2017-11-29,POSITIVA,2017-11-29,-9223372036848649845_2017-11-29
42,-9223372036216431851,-9223372036848620863,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848620863_2017-11-28
43,-9223372036216431948,-9223372036848652196,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848652196_2017-11-28
44,-9223372036216432352,-9223372036848659579,21,BZ,C4,11,10,11,2017,2017-11-10,POSITIVA,2017-11-10,-9223372036848659579_2017-11-10
45,-9223372036216432814,-9223372036848647717,21,BZ,C4,11,5,11,2017,2017-11-05,POSITIVA,2017-11-05,-9223372036848647717_2017-11-05
46,-9223372036216433278,-9223372036848624404,21,BZ,C4,11,7,11,2017,2017-11-07,POSITIVA,2017-11-07,-9223372036848624404_2017-11-07
47,-9223372036216433289,-9223372036848659428,21,BZ,C4,11,6,11,2017,2017-11-06,POSITIVA,2017-11-06,-9223372036848659428_2017-11-06
48,-9223372036216450983,-9223372036848651118,21,BZ,C4,11,1,11,2017,2017-11-01,NEGATIVA,2017-11-01,-9223372036848651118_2017-11-01
49,-9223372036216451886,-9223372036848644372,21,BZ,C4,11,28,11,2017,2017-11-28,NEGATIVA,2017-11-28,-9223372036848644372_2017-11-28
50,-9223372036216452804,-9223372036848649424,21,BZ,C4,11,14,11,2017,2017-11-14,POSITIVA,2017-11-14,-9223372036848649424_2017-11-14
51,-9223372036216453673,-9223372036849098956,21,BZ,C4,11,4,11,2017,2017-11-04,POSITIVA,2017-11-04,-9223372036849098956_2017-11-04
52,-9223372036216453692,-9223372036848661475,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA,2017-11-11,-9223372036848661475_2017-11-11
53,-9223372036216453693,-9223372036848662079,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA,2017-11-11,-9223372036848662079_2017-11-11
54,-9223372036216454082,-9223372036848655400,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848655400_2017-11-28
55,-9223372036216454084,-9223372036848662170,21,BZ,C4,11,28,11,2017,2017-11-28,POSITIVA,2017-11-28,-9223372036848662170_2017-11-28
56,-9223372036216454093,-9223372036848658514,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA,2017-11-13,-9223372036848658514_2017-11-13
57,-9223372036216454108,-9223372036848648409,21,BZ,C4,11,19,11,2017,2017-11-19,POSITIVA,2017-11-19,-9223372036848648409_2017-11-19
58,-9223372036216454541,-9223372036848657786,21,BZ,C4,11,4,11,2017,2017-11-04,NEGATIVA,2017-11-04,-9223372036848657786_2017-11-04
59,-9223372036216454562,-9223372036848626504,21,BZ,C4,11,1,11,2017,2017-11-01,POSITIVA,2017-11-01,-9223372036848626504_2017-11-01
60,-9223372036216454567,-9223372036848644056,21,BZ,C4,11,4,11,2017,2017-11-04,NEGATIVA,2017-11-04,-9223372036848644056_2017-11-04
61,-9223372036216454573,-9223372036848627122,21,BZ,C4,11,2,11,2017,2017-11-02,POSITIVA,2017-11-02,-9223372036848627122_2017-11-02
62,-9223372036216454988,-9223372036848646653,21,BZ,C4,11,23,11,2017,2017-11-23,POSITIVA,2017-11-23,-9223372036848646653_2017-11-23
63,-9223372036216455454,-9223372036848648987,21,BZ,C4,11,15,11,2017,2017-11-15,POSITIVA,2017-11-15,-9223372036848648987_2017-11-15
64,-9223372036216455474,-9223372036848654361,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA,2017-11-11,-9223372036848654361_2017-11-11
65,-9223372036216455475,-9223372036848661530,21,BZ,C4,11,11,11,2017,2017-11-11,POSITIVA,2017-11-11,-9223372036848661530_2017-11-11
66,-9223372036216455904,-9223372036848660291,21,BZ,C4,11,13,11,2017,2017-11-13,POSITIVA,2017-11-13,-9223372036848660291_2017-11-13
67,-9223372036216455923,-9223372036848632348,21,BZ,C4,11,17,11,2017,2017-11-17,POSITIVA,2017-11-17,-9223372036848632348_2017-11-17
