,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
0,-9223372036848618390,-9223372036794517173,21,BZ,C4,11,Acidi Grassi Insaturi Totali,0.954,g/100 g,27,11,2017,-9223372036848618390_2017
5,-9223372036848637775,-9223372036794472235,21,BZ,C4,11,Acidi Grassi Insaturi Totali,1.375,g/100 g,21,11,2017,-9223372036848637775_2017
10,-9223372036848620468,-9223372036794493739,21,BZ,C4,11,Acidi Grassi Insaturi Totali,0.911,g/100 g,18,11,2017,-9223372036848620468_2017
17,-9223372036848659343,-9223372036794400244,21,BZ,C4,11,Acidi Grassi Insaturi Totali,1.011,g/100 g,26,11,2017,-9223372036848659343_2017
24,-9223372036848658891,-9223372036790586554,21,BZ,C4,11,Acidi Grassi Insaturi Totali,0.803,g/100 g,28,11,2017,-9223372036848658891_2017
39,-9223372036848662501,-9223372036794469203,21,BZ,C4,11,Acidi Grassi Insaturi Totali,1.292,g/100 g,28,11,2017,-9223372036848662501_2017
44,-9223372036848658062,-9223372036794401523,21,BZ,C4,11,Acidi Grassi Insaturi Totali,1.171,g/100 g,13,11,2017,-9223372036848658062_2017
49,-9223372036849126676,-9223372036790576309,21,BZ,C4,11,Acidi Grassi Insaturi Totali,0.962,g/100 g,23,11,2017,-9223372036849126676_2017
50,-9223372036848651449,-9223372036790570060,21,BZ,C4,11,Acidi Grassi Insaturi Totali,1.178,g/100 g,30,11,2017,-9223372036848651449_2017
51,-9223372036844316282,-9223372034205214612,21,BZ,C4,11,Acidi Grassi Insaturi Totali,1.227,g/100 g,29,11,2017,-9223372036844316282_2017
55,-9223372036848658479,-9223372036794480329,21,BZ,C4,11,Acidi Grassi Insaturi Totali,1.221,g/100 g,26,11,2017,-9223372036848658479_2017
57,-9223372036848661300,-9223372036794446365,21,BZ,C4,11,Acidi Grassi Insaturi Totali,1.272,g/100 g,17,11,2017,-9223372036848661300_2017
59,-9223372036848655400,-9223372036794419914,21,BZ,C4,11,Acidi Grassi Insaturi Totali,1.232,g/100 g,28,11,2017,-9223372036848655400_2017
62,-9223372036848655961,-9223372036791546629,21,BZ,C4,11,Acidi Grassi Insaturi Totali,1.181,g/100 g,26,11,2017,-9223372036848655961_2017
66,-9223372036848653966,-9223372036791517502,21,BZ,C4,11,Acidi Grassi Insaturi Totali,1.137,g/100 g,6,11,2017,-9223372036848653966_2017
