,idAnimale,idMisuraPrimaria,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,nomeMisura,valoreMisura,unitaDiMisura,giorno,mese,anno,identifying_column
54,-9223372036850176123,-9223372036074008439,24,VI,C4,11,Acidi Grassi Misti,0.876,g/100 g,14,6,2021,-9223372036850176123_2021
55,-9223372036849232702,-9223372036074008831,24,VI,C4,11,Acidi Grassi Misti,0.978,g/100 g,14,6,2021,-9223372036849232702_2021
56,-9223372036850186277,-9223372036074009097,24,VI,C4,11,Acidi Grassi Misti,1.029,g/100 g,14,6,2021,-9223372036850186277_2021
59,-9223372036849341285,-9223372036077839196,26,TV,C4,11,Acidi Grassi Misti,1.868,g/100 g,9,6,2021,-9223372036849341285_2021
60,-9223372036850536380,-9223372036078704533,25,BL,C4,11,Acidi Grassi Misti,1.321,g/100 g,9,6,2021,-9223372036850536380_2021
61,-9223372036850176168,-9223372036074009067,24,VI,C4,11,Acidi Grassi Misti,1.539,g/100 g,14,6,2021,-9223372036850176168_2021
62,-9223372036849793210,-9223372036073895324,24,VI,C4,11,Acidi Grassi Misti,0.975,g/100 g,14,6,2021,-9223372036849793210_2021
63,-9223372036850185933,-9223372036074008710,24,VI,C4,11,Acidi Grassi Misti,1.111,g/100 g,14,6,2021,-9223372036850185933_2021
64,-9223372036850176152,-9223372036074008621,24,VI,C4,11,Acidi Grassi Misti,0.79,g/100 g,14,6,2021,-9223372036850176152_2021
65,-9223372036850526718,-9223372036196563752,25,BL,C4,11,Acidi Grassi Misti,1.28,g/100 g,2,6,2021,-9223372036850526718_2021
66,-9223372036850186579,-9223372036074008770,24,VI,C4,11,Acidi Grassi Misti,0.974,g/100 g,14,6,2021,-9223372036850186579_2021
67,-9223372036850185905,-9223372036074008408,24,VI,C4,11,Acidi Grassi Misti,0.949,g/100 g,14,6,2021,-9223372036850185905_2021
68,-9223372036850183338,-9223372036074008286,24,VI,C4,11,Acidi Grassi Misti,1.148,g/100 g,14,6,2021,-9223372036850183338_2021
69,-9223372036850185920,-9223372036074008680,24,VI,C4,11,Acidi Grassi Misti,0.867,g/100 g,14,6,2021,-9223372036850185920_2021
70,-9223372036850186288,-9223372036074008921,24,VI,C4,11,Acidi Grassi Misti,1.214,g/100 g,14,6,2021,-9223372036850186288_2021
71,-9223372036850176261,-9223372036074008740,24,VI,C4,11,Acidi Grassi Misti,1.087,g/100 g,14,6,2021,-9223372036850176261_2021
72,-9223372036849415948,-9223372036077707919,24,VI,C4,11,Acidi Grassi Misti,1.028,g/100 g,10,6,2021,-9223372036849415948_2021
73,-9223372036850186255,-9223372036074008469,24,VI,C4,11,Acidi Grassi Misti,0.988,g/100 g,14,6,2021,-9223372036850186255_2021
74,-9223372036850185892,-9223372036074009127,24,VI,C4,11,Acidi Grassi Misti,1.025,g/100 g,14,6,2021,-9223372036850185892_2021
75,-9223372036850176237,-9223372036074008861,24,VI,C4,11,Acidi Grassi Misti,1.225,g/100 g,14,6,2021,-9223372036850176237_2021
76,-9223372036849341276,-9223372036077838950,26,TV,C4,11,Acidi Grassi Misti,1.497,g/100 g,9,6,2021,-9223372036849341276_2021
77,-9223372036850185944,-9223372036074008650,24,VI,C4,11,Acidi Grassi Misti,0.996,g/100 g,14,6,2021,-9223372036850185944_2021
78,-9223372036850185852,-9223372036074008317,24,VI,C4,11,Acidi Grassi Misti,1.022,g/100 g,14,6,2021,-9223372036850185852_2021
79,-9223372036849793204,-9223372036073895236,24,VI,C4,11,Acidi Grassi Misti,0.886,g/100 g,14,6,2021,-9223372036849793204_2021
80,-9223372036850354719,-9223372035801689371,30,UD,C4,11,Acidi Grassi Misti,1.249,g/100 g,15,10,2021,-9223372036850354719_2021
81,-9223372036836260505,-9223372035798153455,26,TV,C4,11,Acidi Grassi Misti,1.413,g/100 g,20,10,2021,-9223372036836260505_2021
84,-9223372036850346253,-9223372035811111975,30,UD,C4,11,Acidi Grassi Misti,0.949,g/100 g,7,10,2021,-9223372036850346253_2021
88,-9223372036849966308,-9223372035809815398,25,BL,C4,11,Acidi Grassi Misti,0.909,g/100 g,8,10,2021,-9223372036849966308_2021
89,-9223372036850526944,-9223372035799471573,25,BL,C4,11,Acidi Grassi Misti,1.741,g/100 g,19,10,2021,-9223372036850526944_2021
94,-9223372036849800384,-9223372035810052274,25,BL,C4,11,Acidi Grassi Misti,1.157,g/100 g,11,10,2021,-9223372036849800384_2021
95,-9223372036847602062,-9223372035811367005,24,VI,C4,11,Acidi Grassi Misti,1.289,g/100 g,11,10,2021,-9223372036847602062_2021
96,-9223372036850251834,-9223372035681193622,30,UD,C4,11,Acidi Grassi Misti,1.693,g/100 g,27,10,2021,-9223372036850251834_2021
98,-9223372036850346231,-9223372035811107348,30,UD,C4,11,Acidi Grassi Misti,1.246,g/100 g,7,10,2021,-9223372036850346231_2021
100,-9223372036850354710,-9223372035801689825,30,UD,C4,11,Acidi Grassi Misti,1.231,g/100 g,15,10,2021,-9223372036850354710_2021
101,-9223372036850252045,-9223372035681190137,30,UD,C4,11,Acidi Grassi Misti,1.495,g/100 g,27,10,2021,-9223372036850252045_2021
