idAnimale,mean,std,count,num_non_positive_records
-9223372036845469640,0.09999999999999999,0.04769696007084728,8,0
-9223372036849401793,0.08333333333333333,0.04422166387140533,12,0
-9223372036849401792,0.07666666666666667,0.045215533220835116,9,0
-9223372036849401791,,,0,1
-9223372036849401790,0.055,0.03427827300200522,8,1
-9223372036849401771,0.07000000000000002,0.04289522117905444,5,0
-9223372036849401770,0.07750000000000001,0.0402336923485777,12,2
-9223372036849401763,0.07733333333333334,0.040243702060764185,15,2
-9223372036849139618,0.04750000000000001,0.042056509603151805,32,4
-9223372036848615317,0.06363636363636366,0.044368852152408836,11,1
-9223372036848615316,0.04,0.032532035493238555,24,4
-9223372036847959886,0.025,0.004999999999999999,2,6
-9223372036849139489,0.06838709677419355,0.04530162527836725,31,6
-9223372036845469429,,,0,0
-9223372036834983657,0.08199999999999999,0.047074409183759276,5,0
-9223372036848615117,0.05307692307692309,0.03472631797014065,13,1
-9223372036848615116,,,0,0
-9223372036849139400,0.07454545454545455,0.062430126230506894,11,0
-9223372036845469354,0.06222222222222223,0.08978712822594187,9,3
-9223372036845469352,0.0525,0.023848480035423645,4,7
-9223372036834983564,,,0,3
-9223372036848615021,,,0,0
-9223372036848615020,0.14777777777777776,0.2110701714689942,9,0
-9223372036848615019,0.08250000000000002,0.07595228765481656,4,0
-9223372036848615018,0.042499999999999996,0.028613807855648994,4,0
-9223372036848615017,0.20923076923076922,0.19193194060000854,26,0
-9223372036848615016,0.04857142857142858,0.055402055513329475,7,18
-9223372036848615014,0.03586206896551725,0.021895872919155235,29,19
-9223372036848615013,0.06615384615384615,0.03223434898424148,39,0
-9223372036848615008,0.028500000000000004,0.01956399754651385,20,5
-9223372036848615005,0.042692307692307696,0.021583058225535693,26,18
-9223372036848615004,,,0,0
-9223372036848615003,0.044375,0.044012604728645634,16,3
-9223372036848615001,0.095,0.17973591738993072,10,23
-9223372036848615000,0.03333333333333333,0.012472191289246473,3,0
-9223372036848614999,0.12166666666666666,0.07624886155798583,6,1
-9223372036848614998,0.04875,0.05035809269620921,8,1
-9223372036848614997,0.016666666666666666,0.009428090415820633,3,0
-9223372036848614995,0.026000000000000002,0.01624807680927192,5,0
-9223372036848614993,0.035,0.02318404623873926,16,20
-9223372036848614992,0.06375,0.06223694642252301,8,0
-9223372036848614991,0.0488888888888889,0.03478327964999673,18,1
-9223372036848614989,0.041212121212121214,0.02114274368789383,33,3
-9223372036848614988,,,0,42
-9223372036848614987,,,0,9
-9223372036848614986,0.028333333333333335,0.024267032964268395,24,22
-9223372036848614984,0.05000000000000001,0.025962936545662053,27,7
-9223372036848614981,0.05166666666666667,0.03933474573735316,12,20
-9223372036848614979,0.07,0.029664793948382652,20,1
-9223372036848614978,0.06933333333333334,0.06255308856394615,15,0
-9223372036848614977,0.042083333333333334,0.03535288374219123,24,5
-9223372036848614971,0.060000000000000005,0.04,2,0
-9223372036848614970,0.02277777777777778,0.015565473029024333,18,29
-9223372036848614969,0.04083333333333334,0.018238390523532745,24,1
-9223372036849139254,0.03,0.01,2,0
-9223372036834983459,0.07400000000000001,0.07939773296511685,5,0
-9223372036849139221,0.028148148148148148,0.01925213543461782,27,7
-9223372036845075984,0.06000000000000002,0.014142135623730952,12,0
-9223372036834983418,0.055,0.034999999999999996,2,2
-9223372036833541625,0.054166666666666675,0.028418988174966558,12,0
-9223372036849139183,0.13999999999999999,0.1098483803552272,3,0
-9223372036845993450,0.05307692307692309,0.030980047024003487,13,0
-9223372036831182309,,,0,1
-9223372036845469128,0.024444444444444446,0.01571348402636772,9,3
-9223372036849139085,0.145625,0.10203974409513186,16,1
-9223372036834983181,0.075,0.05024937810560445,4,1
-9223372036845731070,0.11142857142857145,0.0654861464292232,21,0
-9223372036847959290,0.05909090909090909,0.03232070697205669,11,5
-9223372036847959289,,,0,0
-9223372036847959287,0.021666666666666667,0.01343709624716425,6,1
-9223372036848614631,,,0,0
-9223372036849138913,0.044666666666666674,0.07301750170716301,15,19
-9223372036848614625,0.06620689655172414,0.033053122665715196,29,0
-9223372036848614623,0.06000000000000001,0.05198498845234308,41,3
-9223372036848614624,0.11090909090909094,0.05195357113538018,11,0
-9223372036848614621,,,0,0
