idAnimale,mean,std,count,num_non_positive_records
-9223372036848123897,6.615897435897436,0.08541656443925191,39,0
-9223372036845833597,6.697500000000001,0.07361215932167724,12,0
-9223372036847632358,6.583157894736843,0.0973356986266952,19,0
-9223372036848648160,6.486666666666667,0.01699673171197588,3,0
-9223372036847992795,6.551428571428571,0.0803732788032081,21,0
-9223372036845797331,6.544,0.044542114902640186,5,0
-9223372036845535186,6.642142857142858,0.030279311991752322,14,0
-9223372036844224467,6.645,0.0050000000000003375,2,0
-9223372036845833592,6.595,0.04609772228646438,8,0
-9223372036848648140,6.65,0.05949789912257412,10,0
-9223372036848648139,6.687692307692307,0.07265872240019369,13,0
-9223372036832670595,6.590000000000001,0.04242640687119291,5,0
-9223372036848648137,6.740000000000001,0.09098378306318,41,0
-9223372036845469640,,,0,0
-9223372036848648133,6.684800000000001,0.07233920099088742,25,0
-9223372036848648132,6.7690624999999995,0.07268766122080146,32,0
-9223372036848648131,6.656190476190476,0.054289891234459424,21,0
-9223372036848648129,6.651333333333333,0.062168230543332016,15,0
-9223372036848648127,6.626666666666667,0.053333333333333316,9,0
-9223372036848648125,6.70888888888889,0.055865800399895714,45,0
-9223372036848648124,6.64294117647059,0.04896153422749372,34,0
-9223372036848648122,6.671176470588235,0.0612019177843671,34,0
-9223372036848648121,6.684545454545455,0.07785343296729694,33,0
-9223372036848648120,6.515000000000001,0.0349999999999997,2,0
-9223372036844231414,6.6450000000000005,0.037483329627982606,10,0
-9223372036849139618,6.6276666666666655,0.056726439064063404,30,0
-9223372036845797282,6.75,0.05257029925382157,11,0
-9223372036845797280,6.638400000000001,0.04627569556473467,25,0
-9223372036845797276,6.570500000000001,0.03943031828428473,20,0
-9223372036845797275,6.658571428571429,0.035225222874108494,21,0
-9223372036848615317,6.607142857142857,0.029623487647611035,7,0
-9223372036848615316,6.7024,0.08538290226971676,25,0
-9223372036836199142,6.656666666666667,0.028674417556808867,3,0
-9223372036845797258,6.614999999999999,0.028722813232690273,10,0
-9223372036849106817,6.697058823529412,0.03996538294461883,17,0
-9223372036836199141,,,0,0
-9223372036845797237,6.647857142857143,0.054795538325744776,14,0
-9223372036845797235,6.655882352941177,0.040008649583839935,17,0
-9223372036848648048,6.601999999999999,0.05290422613418657,35,0
-9223372036848648038,6.604193548387097,0.03424524394087801,31,0
-9223372036844224355,6.5825000000000005,0.014790199457749063,4,0
-9223372036844224354,6.5725,0.04493050188902876,4,0
-9223372036834131806,6.586,0.036660605559646654,10,1
-9223372036845436765,6.738235294117648,0.05711034665891747,17,0
-9223372036849106780,6.639166666666667,0.053922526729456015,36,0
-9223372036848123732,6.645625000000001,0.04315216535702474,32,0
-9223372036848123731,6.662631578947368,0.053787310699120974,19,0
-9223372036844224332,6.73,0.008164965809277449,3,0
-9223372036833836875,6.628333333333335,0.026087459737497567,6,0
-9223372036844224320,6.574761904761906,0.08162743747510905,21,0
-9223372036848123706,6.698275862068966,0.0552155004172362,29,0
-9223372036848123704,6.662765957446808,0.05354267050221562,47,0
-9223372036848123700,6.6502325581395345,0.059317371552307756,43,0
-9223372036848123695,6.571875,0.03574541054457195,32,0
-9223372036848123683,6.696666666666666,0.004714045207910216,3,0
-9223372036848123682,6.589756097560976,0.04876463156928436,41,0
-9223372036848647969,6.712058823529411,0.07435128907323132,34,0
-9223372036848123680,6.543333333333333,0.0763034876150639,9,0
-9223372036848123678,6.57625,0.024968730444297735,8,0
-9223372036848123677,6.597727272727273,0.04953711355978173,44,0
-9223372036844224280,6.6171428571428565,0.04365916225696031,7,0
-9223372036848647959,6.637222222222221,0.051403151174001835,36,0
-9223372036848647958,6.67,0.04449719092257417,10,0
-9223372036848123670,6.69375,0.053744185732039935,40,0
-9223372036849106708,6.751363636363638,0.05276840088757096,22,0
-9223372036848647955,6.6537500000000005,0.07034513131695759,8,0
-9223372036849106707,6.668333333333333,0.05294126724756195,18,0
-9223372036848123666,6.640000000000001,0.05761944116355177,45,0
-9223372036848123665,6.588863636363637,0.049323418238975056,44,0
-9223372036848123664,,,0,0
-9223372036848123662,6.569090909090909,0.05384397416349394,11,0
-9223372036848123667,6.58909090909091,0.04699217448480037,11,0
-9223372036848123663,6.590000000000001,0.02828427124746179,7,0
-9223372036845833554,6.720454545454545,0.10776562416682836,22,0
-9223372036845892169,6.62125,0.05818880906153702,16,0
-9223372036844224272,6.686249999999999,0.027810744326608697,8,0
-9223372036848647943,6.638,0.06305553108173796,5,0
-9223372036845892168,6.5715,0.037851684242580286,20,0
-9223372036848647941,6.634838709677418,0.0304663714919164,31,0
-9223372036831084293,,,0,0
-9223372036848123649,6.765238095238095,0.08600216207797436,21,0
-9223372036848123648,6.61162162162162,0.047789714686350446,37,0
-9223372036844224249,6.708000000000001,0.03969886648255843,5,0
-9223372036845892165,6.648666666666666,0.036490485822410726,15,0
-9223372036848123636,6.606585365853658,0.05937108420351027,41,0
-9223372036844224243,6.6,0.06164414002968963,5,0
-9223372036848123634,6.632499999999999,0.03631459761583511,12,0
-9223372036844224241,6.636666666666668,0.07738791177495949,6,0
-9223372036845892161,6.664166666666667,0.06251111012363231,12,0
-9223372036848647906,6.620666666666667,0.03785351884420916,15,0
-9223372036848647905,6.672424242424242,0.05872536507518675,33,0
-9223372036848647904,6.678000000000001,0.05051732376126048,25,0
-9223372036848647902,6.608888888888888,0.025141574442188237,9,0
-9223372036850548446,6.571111111111112,0.0647120879047159,9,0
-9223372036845833544,6.660666666666667,0.052847789820283764,15,0
-9223372036845892160,6.56111111111111,0.05506449641495043,9,0
-9223372036848647897,6.737727272727275,0.09976936213003826,22,0
-9223372036845797080,6.7725,0.19600701518057978,4,0
-9223372036848647891,6.617857142857142,0.05239664267169518,14,0
-9223372036848647890,6.763529411764706,0.1139629029666899,17,0
-9223372036848647889,6.593333333333332,0.17329669942542492,21,0
-9223372036848647886,6.7492857142857146,0.14689472837542475,14,0
-9223372036848647885,6.609999999999999,0.021602468994692817,3,0
-9223372036848615117,6.68,0.04582575694955839,8,0
-9223372036848647883,6.65625,0.06352902879786529,16,1
-9223372036848647882,6.4825,0.027726341266023392,4,0
-9223372036849139400,6.48,0.021602468994692817,3,0
-9223372036844524447,6.59,0.04082482904638616,3,0
-9223372036844977848,6.588571428571428,0.026418917155581298,7,0
-9223372036846091958,6.6875,0.04621056877670588,12,0
-9223372036845833535,6.611666666666667,0.06605973727535479,12,0
-9223372036849106606,6.678125,0.049398728475538736,32,0
-9223372036846091950,6.498333333333334,0.04431578600102776,12,0
-9223372036849106604,6.677000000000001,0.08081460264085939,20,0
-9223372036845469354,6.586666666666666,0.02867441755680867,12,0
-9223372036845469352,6.523636363636364,0.08048407265051415,11,0
-9223372036849106597,6.656956521739131,0.07669446908285961,46,0
-9223372036844224154,6.631428571428572,0.044858052766021804,7,0
-9223372036830756503,,,0,0
-9223372036844224147,6.572,0.03600000000000008,5,0
-9223372036834983564,6.515000000000001,0.05852349955359787,4,0
-9223372036845796997,6.625,0.08674675786448736,16,0
-9223372036845796992,6.622727272727272,0.04473983563405215,11,0
-9223372036845796989,6.608461538461539,0.05894536634051712,13,0
-9223372036845931218,6.595,0.03499999999999998,4,0
-9223372036846321275,6.564117647058824,0.02787763673193594,17,0
-9223372036845833522,6.645999999999999,0.03946306289853002,15,0
-9223372036848615020,6.578333333333333,0.030230595245361796,6,0
-9223372036846489104,6.615714285714286,0.033604340503576094,21,0
-9223372036848123498,6.586,0.05765414122159827,20,0
-9223372036848615017,6.665714285714286,0.13357970435274208,21,0
-9223372036848615016,6.6433333333333335,0.0690209308028289,24,0
-9223372036848123495,6.663333333333334,0.06792561290771612,24,0
-9223372036848615014,6.61695652173913,0.06261926239332682,46,0
-9223372036848615013,6.642894736842106,0.06423263208783174,38,0
-9223372036848123492,6.636111111111111,0.0604280002141106,36,0
-9223372036848647779,6.41,0.040000000000000036,2,0
-9223372036848123491,6.730227272727274,0.05706808678171731,44,0
-9223372036848647777,6.657142857142857,0.046817056023353974,7,0
-9223372036848615008,6.640434782608696,0.04591847793924683,23,1
-9223372036848123490,6.719411764705883,0.04892618548689011,17,0
-9223372036848647774,6.66,0.06721344403334449,17,0
-9223372036848647773,6.671578947368421,0.06482877511647499,19,0
-9223372036848647772,6.680476190476192,0.06141011165971738,42,0
-9223372036848615003,6.641249999999999,0.0559994419615052,16,0
-9223372036848615005,6.68275,0.05603514522154829,40,0
-9223372036848615001,6.628387096774193,0.040408939780102265,31,0
-9223372036848123482,6.627441860465117,0.05344386419220152,43,0
-9223372036848614999,6.636666666666667,0.06599663291074452,3,0
-9223372036848614998,6.5725,0.06977642868476414,4,0
-9223372036848647766,6.7295,0.08345507773646849,20,0
-9223372036848123476,6.586666666666667,0.049216076867444725,3,0
-9223372036848614995,6.566666666666666,0.028674417556808524,3,0
-9223372036848647763,6.65142857142857,0.06127888739864925,7,0
-9223372036848614993,6.630303030303031,0.0703448151687123,33,0
-9223372036848614992,6.653333333333333,0.07363574011458189,6,0
-9223372036848614991,6.658571428571428,0.061162213224593164,14,0
-9223372036848647758,6.614375,0.06525291340877688,48,0
-9223372036848647757,6.670937500000001,0.054277030996085204,32,0
-9223372036848614988,6.607142857142857,0.043659162256960336,42,0
-9223372036848614987,6.577,0.05984145720150879,10,0
-9223372036848614986,6.697142857142859,0.05123641349691849,42,0
-9223372036848614989,6.703225806451614,0.04821906307368972,31,0
-9223372036848647752,6.711666666666666,0.059837743570054246,6,0
-9223372036848123467,6.6135294117647065,0.040647867532603674,34,0
-9223372036849106502,6.624,0.08822698000045104,15,0
-9223372036848647749,6.752666666666666,0.1182915419161019,15,0
-9223372036848614981,6.677333333333334,0.03915212496006943,30,0
-9223372036848647747,6.629166666666667,0.06575945221453383,12,0
-9223372036848647748,6.655,0.19293781381574732,8,0
-9223372036848614977,6.712083333333333,0.07729700116362133,24,0
-9223372036848614979,6.634117647058822,0.11293198492009736,17,0
-9223372036848647750,6.616923076923078,0.05914579318997256,13,0
-9223372036848614978,6.690909090909093,0.07292019865511092,11,0
-9223372036848647741,6.6579999999999995,0.08180192880094923,45,0
-9223372036848123454,6.5953125,0.06259914011989304,32,1
-9223372036848123457,6.6425,0.03783186487605388,16,0
-9223372036848614970,6.624375,0.05167632638194527,48,0
-9223372036848614969,6.7004166666666665,0.06973038354181678,24,0
-9223372036848647737,6.6075,0.04205650960315167,4,0
-9223372036848123452,6.635454545454545,0.02995864918778935,11,0
-9223372036845796925,6.590000000000001,0.06369570517030852,7,0
-9223372036848647733,6.8527272727272734,0.09973518655929081,11,0
