idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,DataAsciutta
-9223372036220069792,-9223372036848605639,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220070063,-9223372036848642425,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220070367,-9223372036848416420,36,MO,C4,11,16,11,2017,2017-11-16
-9223372036220070782,-9223372036848651918,21,BZ,C4,11,14,11,2017,2017-11-14
-9223372036220070822,-9223372036848658436,21,BZ,C4,11,16,11,2017,2017-11-16
-9223372036220071151,-9223372036848598096,22,TN,C4,11,15,11,2017,2017-11-15
-9223372036220071156,-9223372036848595441,22,TN,C4,11,5,11,2017,2017-11-05
-9223372036220071212,-9223372036848632293,21,BZ,C4,11,30,11,2017,2017-11-30
-9223372036220071217,-9223372036848634289,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220071432,-9223372036848624488,22,TN,C4,11,19,11,2017,2017-11-19
-9223372036220072182,-9223372036848637210,21,BZ,C4,11,10,11,2017,2017-11-10
-9223372036220072196,-9223372036848653726,21,BZ,C4,11,23,11,2017,2017-11-23
-9223372036220072234,-9223372036848646442,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220072237,-9223372036848659894,21,BZ,C4,11,5,11,2017,2017-11-05
-9223372036220072470,-9223372036848406011,36,MO,C4,11,16,11,2017,2017-11-16
-9223372036220072521,-9223372036847855707,22,TN,C4,11,1,11,2017,2017-11-01
-9223372036220072569,-9223372036848653932,21,BZ,C4,11,30,11,2017,2017-11-30
-9223372036220072613,-9223372036848636686,21,BZ,C4,11,23,11,2017,2017-11-23
-9223372036220072909,-9223372036848603697,22,TN,C4,11,15,11,2017,2017-11-15
-9223372036220073032,-9223372036848644151,21,BZ,C4,11,20,11,2017,2017-11-20
-9223372036220073458,-9223372036848662098,21,BZ,C4,11,8,11,2017,2017-11-08
-9223372036220073741,-9223372036848603047,22,TN,C4,11,15,11,2017,2017-11-15
-9223372036220073782,-9223372036848661379,22,TN,C4,11,10,11,2017,2017-11-10
-9223372036220074190,-9223372036848644202,22,TN,C4,11,15,11,2017,2017-11-15
-9223372036220074736,-9223372036847856144,22,TN,C4,11,15,11,2017,2017-11-15
-9223372036220074886,-9223372036848634896,21,BZ,C4,11,7,11,2017,2017-11-07
-9223372036220074887,-9223372036848649736,21,BZ,C4,11,25,11,2017,2017-11-25
