dataset_name,dataset_url
Female Fertility Index,https://opendata.leo-italy.eu/portale/dataset-info/6363c6c8ab5f510c21cc1d34
Genetic Index Prolificity,https://opendata.leo-italy.eu/portale/dataset-info/6363c6c8ab5f510c21cc1d35
Calving Interval index,https://opendata.leo-italy.eu/portale/dataset-info/6363c6c8ab5f510c21cc1d36
Dual purpose Index,https://opendata.leo-italy.eu/portale/dataset-info/6363c6c8ab5f510c21cc1d37
Udder Health Index,https://opendata.leo-italy.eu/portale/dataset-info/6363e4a33bd3364856d973b0
Indirect Feed Efficiency Index,https://opendata.leo-italy.eu/portale/dataset-info/6363e4a33bd3364856d973b1
Heat Tolerance Index,https://opendata.leo-italy.eu/portale/dataset-info/6363e4a33bd3364856d973b2
Milkability index,https://opendata.leo-italy.eu/portale/dataset-info/6363e4a33bd3364856d973b3
Enteric Disease Resistance Index,https://opendata.leo-italy.eu/portale/dataset-info/6363e4a33bd3364856d973b4
Respiratory Diseases Resistance Index,https://opendata.leo-italy.eu/portale/dataset-info/6363e4a33bd3364856d973b5
Locomotion Index,https://opendata.leo-italy.eu/portale/dataset-info/6363eb3be1407dc678fbf185
Fitness Index,https://opendata.leo-italy.eu/portale/dataset-info/62b9dc8adf109a7948383347
Mother-relatedweeding,https://opendata.leo-italy.eu/portale/dataset-info/63ee3da2e7bf4cdfa064ffd3
Dual purpose Index,https://opendata.leo-italy.eu/portale/dataset-info/63ee3da3e7bf4cdfa064ffd7
Milk performance recordings,https://opendata.leo-italy.eu/portale/dataset-info/64184e44d5f2b757ce4892e3
Lactation,https://opendata.leo-italy.eu/portale/dataset-info/6418616825904da4bced9372
Days Open Index,https://opendata.leo-italy.eu/portale/dataset-info/6418a3a0f8d714f801bb23b2
Udder Health Index,https://opendata.leo-italy.eu/portale/dataset-info/64196aa43414178e20df4afa
Productivity Index Functionality and Type (genomic),https://opendata.leo-italy.eu/portale/dataset-info/66df0c451723e0733fd23e1a
Health Economic Index,https://opendata.leo-italy.eu/portale/dataset-info/66df0cca1723e0733fd23e1b
Parmesan Cheese Sustainability and Cheesemaking Index,https://opendata.leo-italy.eu/portale/dataset-info/66df0d981723e0733fd23e1c
Mammal Composite Index,https://opendata.leo-italy.eu/portale/dataset-info/66df0e1c1723e0733fd23e1d
Mungibility Index,https://opendata.leo-italy.eu/portale/dataset-info/66df0e801723e0733fd23e1e
